---
Bogennummer: '45733'
Ort: Lindental bei Boll
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.010926'
...
WS27	Cheut ihr nid no nes Wyli uf is warte; de chöme mer mit ech.
WS28	Dir müeßt nit so chindtlig Sache mache !
WS29	Üser Bärge si nis so grüsli höch; euer si viel̰ höcher.
WS30	Wie mängs Pfung Wurst u wieviel̰ Brot hättid ihr gärn ?
WS31	J verstah-n-ech nid; dir müeßt echli luter rede !
WS32	Heit ihr kes Bitzli wyßi Seife für mi uf mim Tisch g'seh ?
WS33	Si Brüeder wot i euem Garte zweu schöni neuji Hüser baue.
WS34	Är het vo der Läbere ewägg g'redt.
WS35	Das isch rächt gsi vo-n-ne.
WS36	Was hocke da für Vögeli oben-uf em Müürli ?
WS37	d'Bure hei feuf Stiere u nün Chüe u zwöl̰f Schäfli vor 's Dorf 'bracht; die hei si wöl̰l̰e verchaufe.
WS38	Al̰l̰s isch hüt dusse-n-uf em Fähl̰ u tued mähje.
WS39	Gang nume, däbruun Bäri tued der nüt.
WS40	J bi mit dene Lüt da hinger über d'Matte-n-is Chorn g'fahre.
