---
Bogennummer: '45734'
Ort: Dentenberg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a65238f7-0190-42c6-88cc-613ac205893f
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.397193'
...
WS1	Jm Winter flüge di trochene Bletter i der Luft ume.
WS2	Es hört jitz de gli uf schneie, de wird de ds Wätter wieder besser. 
WS3	Tue Cholen i Ofe, dass d'Milch bau afat ds choche. 
WS4	Der guet alt Ma isch mit em Ross dür ds Jsch broche u i ds chaute Wasser gheit. 
WS5	Er isch vor vier oder sächs Wuche gschtorbe. 
WS6	Ds Füür isch ds schtarch gsi, d'Chueche si ja ungeruf ganz schwarz verbrönnt. 
WS7	Är isst d'Eier ohni Sauz u Pfäffer. 
WS8	D'Füess tüe mer so weh, i glouben, i heig se dürloffe. 
WS9	J bi bi dr Frau gsi u ha res gseit, u si het gseit, si wöus de ihrer Tochter o säge. 
WS10	J wius nümme meh mache. 
WS11	J schla der gly mit em Chochlöffu um d'Ohre, du Aff.
WS12	Wo geisch hi, söue mer mit der cho?
WS13	Es sy schlächti Zyte!
WS14	Mis liebe Ching, blib hie unger schtah, die böse Gäns bisse di tod. 
WS15	Du hesch hüt am meischte glehrt u bisch brav gsi, du darfsch frücher hei ga aus di angere. 
WS16	Du bisch no nid gross gnue für ne Fläsche Wy ustreiche, du muesch z'ersch no wachsen u grösser wärde. 
WS17	Gang u bis so guet u säg dir Schwöschter, si söu d'Chleider für eui Mueter fertig mache u mit der Bürschte sufer mache. 
WS18	Hättisch du ne nid gchennt, de wärs angers cho un es tät besser um ihn schtah.
WS19	Wär het mer mi Chorb mit Fleisch gschtole?
WS20	Er het eso ta, wi wenn er zum Drösche bschteut wär; sie hei aber säuber ta. 
WS21	Wäm het er die nöii Gschicht verzeut?
WS22	Mi mues lut brüehle, süsch verschteit er is nid. 
WS23	Mir si müed u hei Durscht. 
WS24	Wo mer geschter Abe sy zrügg cho, si die angere scho i Bett gläge u hei fescht gschlafe. 
WS25	Der Schnee isch disi Nacht binis blibe lige, aber hüt em Morge isch er gschmueze.
WS26	Hinger üsem Hus schtöh drei schöni Öpfuböim mit roten Öpfu. 
WS27	Chöit ir nid no ne Ougeblick uf is warte, de göh mer mit öich. 
WS28	Dir dörfet nid settegi Chindereie tribe. 
WS29	Üsi Bärge si nid so höch, öii si höcher. 
WS30	Wieviu Pfung Wurscht un wieviu Brot weit der?
WS31	J verschtan ech nid, dir müesst es bitzeli luter rede. 
WS32	Heit dir kes Schtückli wysi Seife für mi uf mim Tisch gfunge?
WS33	Sy Brueder wott sech zwöi schöni nöii Hüser i öiem Garte boue. 
WS34	Das Wort isch im vo Härze cho. 
WS35	Das isch rächt gsi vonne. 
WS36	Was sitze da für Vögeli obe uf em Müürli?
WS37	D'Bure hei füf Ochse u nün Chüe u zwöuf Schäfli vor ds Dorf use brunge, die hei si wöue verchoufe. 
WS38	D'Lüt si hüt aui dussen uf em Fäud u mähie. 
WS39	Gang nume, der brun Hung tut der nüt. 
WS40	J bi mit dene Lüt da hinger über d'Matte i ds Chorn gfahre.
