---
Bogennummer: '45737'
Ort: Vechigen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.267658'
...
WS2	Es hört sofort (glii) uf mit schneie, de wird z'Wätter ume besser.
WS3	Tue Chole i Ofe, dass d'Miuch glii aafat choche. (glii chunt)
WS4	Dä guet aḷt Maa isch mit em Ross dür ds Jsch b'broche u i das chaḷte Wasser g heit.
WS5	Är isch vor vier oder sächs Wuche gstorbe.
WS6	Ds Füür isch z'schtarch gsi, die Chueche si ja unger-dran ganz verbrönnt.
WS7	Är isst d'Eier geng ohni Saḷz u Pfäffer.
WS8	D'Füess tüe mer hert (schtarch) weh, i gloube, i heig'se dürgloffe.
WS9	J bi bi der Frou gsi u ha r'es gseit, u si het gseit, si wöu's ihrer Tochter (ihrem Meitli) o säge. 
WS10	J wott's o nümme meh mache!
WS11	J zwicke di (houe der) mit em Cheḷḷeli (Chochlöffu) um d'Ohre, du Aff!
WS12	Wo wosch hii, söḷḷe mer mit der cho?
WS13	Äs si schlächt Zite!
WS14	Mis liebe Ching, blib da nide schtah, di böse Gens biisse di z'tod.
WS15	Du hesch hütt am meischte g'lehrt u bisch brav gsi, du tarfsch früecher hei weder die angere.
WS16	Du bisch no nid gross gnue, für ne Fläsche Wii us z'treiche, du muesch z'ersch no chli wachse u gröser wärde.
WS17	Gang, bis so guet u säg dir Schweschter, si sött d'Chleider für euii Muetter fertig näje u se mit der Bürschte putze (sufer mache)
WS18	Hättisch du ne g'chennt, de wär aḷḷs angersch cho, u nes tät besser um in schtah.
WS19	Wär het mer mi Chorb mit Fleisch g'schtole?
WS20	Är het so ta, wi we si ne hätti zum Trösche bsteḷḷt gha, aber si heis s[ä]ḷber gmacht.
WS21	Wäm het er die neui Gschicht erzeḷḷt?
WS22	Mi mues lut brüele, süsch verschteit är is nid.
WS23	Mir si müed u hei Durscht.
WS24	Wo mer nächti si zrugg cho, si di angere scho im Bett gläge u fescht am Schlafe gsi.
WS25	Dr Schnee isch bi üs di Nacht bliebe lige, aber dä Morge (hüt am M.) isch er vergange.
WS26	Hinger üsem Huus schtöh drü schöni Opfubäumli mit rote-n-Öpfeli.
WS27	Chöit d'ihr nid no nes Ougeblickli uf is warte, de chöme mer de mit ech.
WS28	Dihr dörfit nit settigs chintligs Züg (settigs Glöhḷ.) mache.
WS29	Üser Bärge si nid so höch, euer si vieḷ höcher.
WS30	Wi mänggs Pfung Wurscht u wievieḷ Brot weit d'er?
WS31	J verschtah nech nid, d'ihr müessit e chli lütter rede!
WS32	Heit d'ihr kes Bitzli wiissi Seife für mi uf mim Tisch funge?
WS33	Si Brueder wott zwöi schöni neui Hüser i euem Garte baue.
WS34	Das Wort isch im vo Härze cho!
WS35	Das isch rächt gsi von-ne!
WS36	Was hocke da für Vögeli uf däm Müürli obe?
WS37	Di Pure hei füf Schtiere u nüün Chüeh u zwöḷf (es Dotze) Schäfli vor das Dorf brunge, die hei si wöḷḷe verchoufe.
WS38	D'Lüt si hüt aḷḷi dusse uf em Fäḷd u mäje.
WS39	Gang nume, dä bruun Hung tuet dir nüt.
WS40	J bi mit dene Lüte da hinger uber die Matte i ds Chorn gfahre.
