---
Bogennummer: '45743'
Ort: Bigenthal
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.777667'
...
WS21	Wäm het er die neui Gschicht erzehḻt?
WS22	Me mues lutt brüele, süsch verstiit er is nid.
WS23	Mr sy müed u hi Turscht.
WS24	Wo mr nächti si hii cho, si die anḏere scho im Bett g'läge u si fescht am Schlafe gsy.
WS25	Dr Schnee isch hinecht bi-n-is blybe lige, aber hut am Morge isch er vergange.
WS26	Hinḏer üsem Hus schta drü schöni Öpfe̱ḻbümli mit rote Öpfeli.
WS27	Chöit-er nit no-n-es Ugeblickli ufis warte, de ga mr mit ech.
WS28	D'ihr törfit nid settegi Chinḏereie trybe.
WS29	Üser Bärge si nid grad höch, euer si vieḻ höcher.
WS30	Wievieḻ Pfunḏ Wurscht u vievieḻ Brot weit-er ha?
WS31	J verschta-n-ech nid, d'ihr müessit e chly luter rede.
WS32	Hit-er kes Bitzli wyssi Siife für mi auf [mim] Tisch gfunḏe?
WS33	Si Brueder wott sech zwü schöni neui Hüser i euem Garte boue.
WS34	Das Wort isch ihm vo Härze cho.
WS35	Das isch rächt gsy von-ne.
WS36	Was hocke da für Vögeli uf em Müürli obe?
WS37	D'Bure hi föif Ochse u nün Chüeh u zwöḻf Schäfli vor ds' Dorf brunge, die hi-si weḻḻe verchoufe.
WS38	D'Lütt si hüt aḻḻ uf em Fäḻd usse u mäije.
WS39	Gang nume, dr brun Hunḏ tuet dr nüt.
WS40	J bi mit de Lütte da hinḏe über d'Wiese (d'Matte) i ds Chorn gfahre.
