---
Bogennummer: '45747'
Ort: Kleinroth
Gid: 20556
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-06-16 15:41:52.350284
Änderungsdatum: 2022-07-15 17:48:49.351120
...
WS1	Im Winter flüge die trochene Bletter i dr Luft ume.
WS2	Es hört grad uf schneie, de wird z' Wätter ume besser.
WS3	Tue Chohle i Ofe, dass d' Miuch gly afat choche.
WS4	"Dä guet aut Ma isch mit'em Ross dür s'Jsch broche u i  {""s'kau"" durchgestrichen}  s' chaute Wasser g'heit."
WS5	Är isch vor vier oder sächs Wuche g'schtorbe.
WS6	z' Füur isch z'schtarch gsy, Chueche si unger ja ganz schwarz brönnt {Verdoppelungsstrich auf 'n'}.
WS7	Är isst d' Eier geng ohni Sauz u Pfäffer.
WS8	"D' Füess tüe mer {zunächst 'tüemer"", dann mit senkrechtem Strich zwischen 'e' und 'm' getrennt: ""tüe|mer""} <(geng)> weh, i glůbe i hig'se {zunächst ""heig'se"", dann 1.'e' durchgestrichen} düregloffe."
WS9	J bi by dr Frou {zunächst 'Frau', dann 'a' durchgestrichen und 'o' darüber gesetzt} gsy u ha'res gseit, u si het gseit, si wöu's o ihrer Tochter säge.
WS10	I wott's o nümme meh mache.
WS11	J schla dr sofort dr Chochlöffu {zunächst 'Chochlöffel', dann dick 'u' über 'el' geschrieben} um d' Ohre, du Aff.
WS12	Wo gisch du hi  söu'mer mit'dr cho.
WS13	Äs si schlächti Zyte.
WS14	Mis lieb[e]  {zunächst 'liebs', dann dick 'e' über 's' geschrieben}  Ching, blib hie unger stah, die böse Gäns bisse di z' Tod.
WS15	Du hesch hüt am meischte glehrt u bisch brav gsi, du darfscht früecher hei {zunächst 'hei', dann 'e' durchgestrichen und dann darunter kleine Punkte gesetzt (um die Korrektur rückgängig zu machen)} , aus die angere.
WS16	Du bisch no nid gross gnue ume'ne Fläsche Wy usz'trinke, du muesch zerscht no öppis wachse u grösser wärde.
WS17	Gang, bisch so guet u säg dir Schweschter, si sötti d' Chleider für eui Mueter fertig näi[e] {sollte hier ein anderer Buchstabe geschrieben werden?} u mit dr {das 'r' ist ganz dünn geschrieben} Bürschte putze.
WS18	Hättischt du ne g'kennt ! de wä[r]e[s]  {wegen des durchscheinenden Nummernstempels auf der Rückseite des Bogens sind der 3. und 5. Buchstabe schwer lesbar}  angersch use cho, u äs würd besser um ihn schtah.
WS19	Wär het mir dr Chorb mit'däm Fleisch g'schtohle.
WS20	Är het e so tah, wi we' sine zum Trösche bschtëut hätte; si his {zunächst 'heis', dann 'e' durchgestrichen} aber säuber g'macht. {Zunächst wurde 'säuber g'macht' am Zeilenende unter 'si his aber' notiert, dann durchgestrichen und neu am Anfang der nächsten Zeile aufgeschrieben}.
WS21	Wäm het [ä]r {oder 'er'?} die neui Gschicht erzëut ?
WS22	Mi mues lut brüele, süsch versteit är üs nid.
WS23	Mir si müed u hei Durscht.
WS24	Wo mer geschter am Abe {zunächst 'Aben' begonnen, aber mitten im 'n' abgebrochen und den angefangenen Buchstaben durchgestrichen} z'rugg cho si, da si die angere scho im Bett gläge u si fescht am Schlofe gsi. 
WS25	"Dr Schnee ischt die Nacht bi üs lige blibe  {im Bogen notiert '... lige blibe bi üs', dann die Reihenfolge geändert, indem über 'lige blibe' eine '2' gesetzt wurde und über 'bi üs' eine '1'} ; aber hüt am Morge isch er g'schmouze. [am Zeilenende wurde zunächst ""g'schm[..]ze"" notiert, dann vor dem Wort eine Klammer geöffnet und mit einem Pfeil auf das unter stehende Wort ""g'schmouze"" verwiesen}."
WS26	Hinger üsem Hus stöh drü schöni Öpfub[öi]mmli {oder 'Öpfubäumli'?} mit rote Öpfeli.
WS27	Cheu<( ͥ )>t {zunächst 'Cheut', dann zwischen 'u' und 't' oben klein und in Klammern 'i' gesetzt} nit no nes Ougeblickli [zunächst 'Augeblickli', dann über 'A' ein 'O' gesetzt} uf üs warte, de gömer mit'nech ?
WS28	Ihr dörft nit selegi Chindereie tribe {zunächst 'trybe', dann 'y' durchgestrichen und 'i' darüber gesetzt}.
WS29	Üsi Bärge si nit so sehr höch {nicht ganz eindeutig: auf der Zeile steht 'si sehr höch', über 'sehr' steht 'nit  so' und unter sehr stehen kleine Punkte}, die eue {zunächst 'eure', dann 'r' durchgestrichen] si vi'u höcher.
WS30	Wi mängs Pfung Wurscht {zunächst 'Wuerscht', dann 'e' durchgestrichen} u wi viu Brot weit dr ha ?
WS31	J verschtah {'h' ist nachträglich oben angefügt} nech nit, dir müesst luter rede.
WS32	Heit'dr kes Pitzeli wissi Seife {'wissi' ist oben zwischen 'Pitzeli' und 'Seife' eingefüg}  {'uf' durchgestrichen} für mi uf mim Tisch g'funge ? 
WS33	Si Brueder wott'sech zwöi schöni, neui Hüser i euem Garte boue.
WS34	Das Wort isch ihm vo Härze cho.
WS35	Das ischt rächt gsi vo euch.
WS36	Was hocke da für Vögfeli obe uf'em Mürli ?
WS37	Die Pure hei {zunächst 'hei', dann 'e' durchgestrichen; unter dem durchgestrichenen 'e' sind zwei Pünktlein: was soll gelten?} füf Stiëre u nün Chüeh u zwöuf Schäfli vor's Dorf [p]runge {oder 'brunge'?}, die hei si wöue verchoufe.
WS38	D' Lüt si hüt aui dusse uf em Fäud <(Fä=ud)> u mäie.
WS39	Gang nume <(dä)> dr brun Hung tuet dr nüt.
WS40	J bi mit de Lüt da hinger über d' Matte i z' Chorn use g fahre.
