---
Bogennummer: '45749'
Ort: Obergoldbach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.961046'
...
WS27	Cheut der nid no nes Ougeblickli uf üs warte, de chöme mer mitt nech.
WS28	Dir dörfet nid settigi Chindereie tribe.
WS29	Üser Bärge sy nid so höch, öier si viel höcher.
WS30	Wie mängs Pfung Wurscht u wieviel Brot möchtit er?
WS31	I verschtah-n-ech nid, dir müesst e chli lüter rede.
WS32	Heit der nid es Stück wissi Seife für mi uf em Tisch gfunge.
WS33	Si Brueder wot zweu schöni, nöii Hüser i euem Garte boue.
WS34	Das Wort isch ihm vo Härze cho.
WS35	Das isch schön gsy, vone.
WS36	Was hocke da für Vögeli ufem Müürli obe?
WS37	D'Bure hi föif Ochse u nün Chüe u zwöuf Schäfli vor d's Dorf use bracht, di hi si wölle verchoufe.
WS38	D'Lüt si hüt alli uf em Fäld usse u mäje
WS39	Gang nume; dä bruun Hund (Hung) tuet der nüt.
WS40	I bi mit de Lüt da hingere uber d'Matter i d's Chorn g'fahre.
