---
Bogennummer: '45752'
Ort: Rüderswil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.768962'
...
WS1	Im Winter flüge die trochene Bletter i der Luft ume.
WS2	Es hört grad uf schneie, de wird s Wetter ume besser.
WS3	Leg Chole a, dass d'Miuch gli afaht choche.
WS4	De guet aut Ma ist mit dem Ross dürs Ysch broche un i ds chaut Wasser gfaue.
WS5	Er ist vor vier oder sechs Wuche gstorbe.
WS6	D's Für ist z'heiss gsy, d'Chuche sy ja ungeruf ganz schwarz brönnt.
WS7	Er isst d'Eier gäng ohni Sauz u Pfäffer.
WS8	D-Füess tüe mer hert weh, i glube, i hyg se dürglüffe.
WS9	I by by der Frou gsy u har es gsyt, u sy het gsyt, sy weus o ihrer Tochter säge.
WS10	I wius o nimmeh mache.
WS11	I schla der iz de gly mi dem Cheueli um d'Ohre, du Aff!
WS12	Wohi gyscht du, söue mer mit der choh ?
WS13	Es sy schlächt Zyte.
WS14	Mys liebe Ching, blyb da unger stah, di böse Gens tüe dy de ztod bysse.
WS15	Du hescht hüt am myste glehrt u bist artig gsy, du darfst ehnder heigah weder die angere.
WS16	Du bischt no nid gross gnue, für ne Fläsche Wy usztreiche ,du muescht zerst no e chly wachse n u gröser wärde.
WS17	Gang, bis so guet u säg dyr Schweschter, si söu d'Chleider für eui Mueter fertig näje n u mit der Bürtse sufer mache.
WS18	Wenn du ne kennt hättist de wäres angersch cho, un es stieng besser um-in.
WS19	Wer het mer my Chorb mit Fleisch gstohle?
WS20	Er het derglyche ta, si hygine für z'Drösche bsteut, si hys aber säuber gmacht.
WS21	Wäm het är die neui Gschicht erzeut ?
WS22	Mi mues lut brüele, süst verstyt er üs nid.
WS23	Mir sy müed u hy Durst.
WS24	Wo mer geschter z'Abe sy zrugg cho, da sy di angere scho im bett gläge, u fest am Schlafe gsy.
WS25	Der Schnee ischt dysi Nacht by üs blybe lige, aber hüt am Morge ischt er ab.
WS26	Hinger üsem Huus stah drü schöni Oepfubümli mit rote Oepfeli.
WS27	Chönnet dir nid no nes Ougeblickli uf is warte, de chöme mer mit ech.
WS28	Dir dörfet nid setigi Chingereie trybe.
WS29	Uesre berge sy nid grüsli höch, euer sy viu höcher.
WS30	Wi mängs Pfung Wurscht u wi viu Brot wyter?
WS31	Y verstah nech nid, dir müessit es bitzeli lüter rede.
WS32	Hyt dir kes Bitzli wyssi Syfe uf mim Tisch funge?
WS33	Sy Brueder wot sech zwü schöni neui Hüser y euem Garte lah boue.
WS34	Das Wort ischt ihm vo Härze cho.
WS35	Das ischt rächt gsy von ihm [...]
WS36	Was sy das für Vögeli, wo da oben[...] der Mürli hocke?
WS37	Di Bure hy föif Ochse-n-u nün Chüe u zwöuf Schäfli vor z'dorf use brunge, die hy sy weue verchuufe.
WS38	D'Lüt sy hüt au dusse ufem Fäud u mähje.
WS39	Gang nume, der brun Hung tuet der nüt.
WS40	Y bi mit dene Lüte dehinger über dwyse i ds Chorn gfahre.
