---
Bogennummer: '45773'
Ort: Twären
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.007472'
...
WS1	Im Winter flüge die trochene Bletter i dr Luft des ume.
WS2	Es hört gli uf schneie, de wird de s' Wätter wider besser.
WS3	Tue Chole i Ofe, dass d' Miuch bau afaht choche.
WS4	Mit däm aute Ma het s' Ysch la gah u är isch mit dem Ross i ds chaute Wasser gheit.
WS5	Är isch vor vierne oder e so Wuche gstorbe
WS6	Es het viu z' verflucht gut brönt; die Chuche si ja unger dranne ganz choleschwarz
WS7	Er isst d' Eier ohni Sauz no Pfäffer.
WS8	E wie tüe mir jtz die Füess weh; i glube i sig düre glüffe.
WS9	I bi bi dr Frou gsi u si het gsiht, si wöus de ihrer Tächter o säge.
WS10	Das macheni emu nüme.
WS11	I houe dr öppe de gli mit dem Chochlöffu zum Gring, du Aff
WS12	"Wo gischte hi, söue mer mitd' er [oder ""mitet' er""?] cho ?"
WS13	Es si schlächti Zyte !
WS14	He liebs Burschli, blib hi stah, di böse Gäns frässe di süsch !
WS15	Du hesch hüt am beschte glehrt gah u bischt as bravs gsi, du chaisch hüt ender hi aus di angere
WS16	Du bischt no z' kline ume Fläsche Wy us' z' treiche, du muesch z' erscht no chly wachse u grösser wärde.
WS17	Gäng bis si gut, u säg dir Schwester sie söu Chlider für eui Mutter fertig näie u se no chli burschte
WS18	Hätisch du ne kennt ! de wärs angersch cho, u as stieng besser mit im.
WS19	Wär het' mer mi Chorb vou Flysch gschtohle ?
WS20	Er het dr gliche ta, aus hätte si ne gheisse zum Drösche cho; är hets aber säuber ta
