---
Bogennummer: '45775'
Ort: Ortbach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.228084'
...
WS2	Es (e geschl. e - ä) hört glie uf schneie, de wirt ds Wätter ume besser.
WS3	Tue Chole i Ofe, dass d' Miuch glie afat choche.
WS4	"Dä guet aut (auch ""out"") Ma isch mit em Ross dürts Iisch proche u i ds chaute Wasser gheit."
WS5	Är isch vor vier oder sächs Wuche gschtorbe.
WS6	Ds Füür isch z' starch gsi, d Chueche si ungefer ja ganz schwarz worde.
WS7	"Äer isst d Eier gäng ohni Sauz (auch ""Souz"") u Pfäffer."
WS8	"D Füess tüe mer hert weh, i gloobe, i heeg (""hiig""; lokal zwisch. i + e) se düreglüffe."
WS9	"I bi ""bi der"" (""bir"") Frou gsie u ha-r-es gseet (gsiit), u sie het gseet (gsiit), si wöus (wëus) de no irem Meetli (Tochter, Tächter) säge."
WS10	"I wott s nümme (auch ""nemme"") mache."
WS11	I schlah der mit em Chochlöffu um d Ohre um, du̱ (geschl.) Aff !
