---
Bogennummer: '45785'
Ort: Finsterwald
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 490d1ab4-5ca5-445c-961e-545a480eca03
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.087636'
...
WS30	Wie mängs Pfond Worscth ond wie mängs Brot weit ehr?
WS31	E verschtah euich ned, ehr müesset ne chly lüter rede.
WS32	Heit ehr keis Stückili wissi Seife gfonde für mech of mim Tesch?
WS33	Si Brüeder wot für sech zwöi neui, schöni Hüser boue i euiem Garte.
WS34	Das Wort escht ehm vo Härze cho.
WS35	Das escht rächt gsi vo euich.
WS36	Was si da für Vögili, obe of däm Mürli?
WS37	D'Bure hei füf Ochse, nün Chüeh [die Schafe fehlen - unvollst.] vor's Dorf bracht, die hei si wölle verchaufe.
WS38	D'Lüt si höt alli ofem Fäld usse ond tüe mäihe.
WS39	Gang nor, dr brun Hond macht der nüüd!
WS40	E be met de Lüte da hinde öber d'Matte is Chorn gfahre.
