---
Bogennummer: '45786'
Ort: Allweg (Ennetmoos)
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.263742'
...
WS1	Jm Wintr flijgid diä trochänä Blettr i dr Luft umä. -
WS2	Äs herd grad uif schniä, de wird s'Wättr wiedr bessr. -
WS3	Tuä Cholä i Ofä, das Milch glÿ afad sijdä. -
WS4	Dä guät alt Ma ischt midm Roß durä Jjsch ighijd und is Wassr ghijd. -
WS5	Är ischt vor vier odr sächs Wuchä gstorbä. -
WS6	S'ischt zfast gfijräd gsi, d'Chuächä sind ja unnä dra ganz verbrend gsi. -
WS7	Är ißt d'Eiär immer ohni Salz und Pfäffr. -
WS8	D'Pfiäß diämr weh, ich gläubä, ich has räuh. -
WS9	Jch bi bi dr Fräu gsi und hanäräs gseid, und sie seid, sie wells ai ihrär Tochtr sägä. -
WS10	Jch wills ai nimmä wiedr tuä! -
WS11	Jch schla dr midm Chellä um d'Ohrä, dui Aff!
WS12	Wo gascht dui hi, söllid miär mitr cho? -
WS13	Äs sind schlächt Zijtä! -
WS14	Mijs liäbs Chind, blieb hiä unä stah, diä besä Gäns bijßid dich tod. -
WS15	Dui hescht hit am meistä glert und bischt artig gsi, dui darfst frühr hei ga als diä anderä.
WS16	Dui bischt nu nid groß gnueg umänä Fläschä Wij z'trinkä dui muescht zerst nu chli wachsä und greßr wärdä. -
WS17	Gang bis so gued und säg dijner Schwestr, sie söll d'Chleidr für üwi Muettr fertig näihä [?] und mit dr Birstä suibr machä. -
WS18	Hättisch dui ihns kennt! de wär äs anders cho, und äs tät bessr um ihns stah. -
WS19	Wer hed miär mi Chorb midm Fleisch gstohlä? -
WS20	Är tued so, als hättid sie ihns zum Dreschä bstellt; sie hends abr sälbr gmacht. -
WS21	Wem hed är diä nijw Gschicht erzellt? -
WS22	Mä mueß luit lärmä, sust verstahd ärs nid. -
WS23	Mier sind mied und hend Durst. -
WS24	Wo mier gestr am Abed hei cho sind, da sind sie scho im Bett gsi, und hend scho fest gschlafä. -
WS25	Dr Schnee ischt diä Nacht bi ijs nid äwäg gangä, abr hijtä Morgä heds dur gabäräd
WS26	Hindr ijsm Huis stand dri scheni Epfelbeimli mid rotä Epfili.
WS27	Chendid ier nid nu äs Äugäblickli uf ijs beitä, de gamm mier mid ijch. -
WS28	Jhr terfid nid selig Chinderiä trijbä. -
WS29	Jjsi Bärg sind nid so hoch, diä ijwärä sind viel hecher. -
WS30	Wieviel Pfund Wijrst und wieviel Brod wend ier ha? -
WS31	Jch verstah ijch nid, ier miend ä chli lijterer redä. -
WS32	Hend ier keis Stückli wijßi Seipfä für mich uf mijm Tisch gfundä? -
WS33	Si Brüdr wil für ihns zwei scheni, nijwi Hijsr i ijwem Gartä buiwä. -
