---
Bogennummer: '45796'
Ort: Rubigen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 9a50b004-8c48-473b-81b3-9e0edff5349e
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.757734'
...
WS1	Im Winter flüge die trochene Bletter i der Luft ume.
WS2	Es hört grad uf schneie, de wird s'Wätter ume besser.
WS3	Tue Cholen i Ofe, dass die Milch chochet!
WS4	Dä guet Ma isch mit em Ross dürs Ysch broche u i ds chalte Wasser gfalle.
WS5	Er isch vor vier oder sechs Wuche gstorbe.
WS6	D's Füür isch z'starch gsi, d'Chueche si ja unte ganz verbrönnt.
WS7	Er isst d'Eier immer ohni Salz u Pfäffer.
WS8	D'Füss tüe mer hert weh, i gloube, i heig se dürglüffe.
WS9	I bi bi der Frou gsi u ha res gseit, u si het gseit, si well's ihrer Tochter o säge.
WS10	I will's o nümme mache.
WS11	I schla der de öppe der Chochlöffu um d'Ohre, du Aff!
