---
Bogennummer: '45801'
Ort: Ursellen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.220178'
...
WS2	Es hört itz uf mit schneie, de wird ds Wätter wieder besser.
WS3	Tue Chole i Ofe, dass d'Milch bau afaht choche.
WS4	Dä guet alt Ma isch mit dem Ross dür ds Yschbbroche u i ds chaut Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche gstorbe.
WS6	Ds Füür isch z'starch gsy, d'Chueche si ungernache ganz schwarz.
WS7	Är fr -isst d'Eyer gäng ohni Saḷz u Pfäffer.
WS8	D'Füess tüe mr eländ weh, i gloube i heig se düreglüffe.
WS9	J bi by dr Frou gsy u ha-r-es gsịịt u sie sịịt, si wöus de o ihrem Miitschi säge
WS10	J wiḷḷs o niemeh mache.
WS11	J schlah dr de gly mit dr Cheue um d'Ohre, du Aff!
WS12	Wo gịịsch hi, söue mr mit dr cho?
WS13	Es si schlächt Zyte.
WS14	Mys liebe Ching, blib da unger stah, di böse Gäns bysse di z'tod.
WS15	Du hesch hüt am meischte glehrt u bisch artig gsy du darfscht früecher hii, aḷs die angere
WS16	Du bisch no nid grosse gnue, u-men-e Fläsche Wy us z'treiche, du muesch z'ersch no chli wachse u grösser wärde.
WS17	Gang, bis so guet u säg dyr Schwester, si sött d'Chleider für eui Mueter fertig näye u se bürschte
WS18	Hättisch du ne gchennt, de wäs angersch cho u es stieng besser um di.
WS19	Wär het mr my Chorb mit em Fleisch gstohle?
WS20	Är het dr glyche ta, wie we se ne hätti für ds Drösche bsteḷḷt; aber si hịs säuber gmacht
WS21	Wäm het är die neui Gschicht erzeḷḷt?
WS22	Mi muess lutt brüele süsch verstịịt er-is nid.
WS23	Mir sy müed u hi Durscht
WS24	Wo mr gester z'Abe sy ume cho, sy di angere scho im Bett gsi u hi fescht gschlafe.
WS25	Dr Schnee isch di Nacht bi üs blybe lige, aber hüt am Morge isch er ab.
WS26	Hinger üsem Hus stah drü schöni Öpfuböimli mit rote Öpfeli.
WS27	Chöit dr nid no-nes Ougeblickli uf is warte, de chöme mr mit ech. 
WS28	Dr dörfit nid settigs chindligs Züüg mache.
WS29	Üser Bärge sy nid so höch, euer sy vịịḷ höcher.
WS30	Wi mängs Pfung Wurscht u wievịịḷ Brot weit-r.
WS31	J verstah-n-ech nüd, dir müessit e chli lutter rede.
WS32	Hịịt dr kes Bitzli wyssi Sịịfe für mịi uf mim Tisch funge.
WS33	Sy Brueder wot zwü schöni nöii Hüser i euem Garte boue.
WS34	Das Wort isch ihm vo Härze cho.
WS35	Das isch rächt gsy vo-n-ech.
WS36	Was hocki da für Vögeli uf däm Müürli obe.
WS37	Die Bure hi föif Ochse u nün Chüe u zwöḷf Schäfli vor ds Dorf bbracht, die̱ hi si wöḷḷ verchufe.
WS38	D'Lüt si hüt aḷḷi duss uf em Fäld u mäi-i
WS39	Gang nume, dä brun Hung tuet dr nüt.
WS40	J bi mit dene Lüte da hinger über die Matte ids Chorn gfahre.
