---
Bogennummer: '45812'
Ort: Gerzensee
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.376832'
...
WS2	Es hört gly uf schneie; de wird s' Wätter wieder besser.
WS3	Tue Chole n i Ofe, dass d' Milch - Miuch - gly afaht choche.
WS4	Dä guet aut Ma isch mit em Ross dürs Ysch broche un i s chaut Wasser gheit - gfaue -
WS5	Er isch vor vier oder sächs Wuche gschtorbe.
WS6	Das Füür isch z' schtarch gsi; die Chueche sy ja ungernache ganz schwarz.
WS7	"Är isst d' Eier gäng ohni Sauz un Pfäffer. - Bei ""Sauz"" ist der u getrübt, fast wie ein o̱."
WS8	B' Füess tüe mr hert weh,; i gloube, i heig se dürgloffe.
WS9	J bi bi der Frou gsi u han er es gsiit, un sie het gsiit, sie wöus de ihrer Tochter o säge.
WS10	J wotts o nimme meh mache.
WS11	J schla dr jetz de mit dem Chochlöffu um d' Ohre, du Aff !
WS12	Wo giisch hi, söue mer mit dr cho ?
WS13	Es sy schlächti Zyte.
WS14	Liebs Ching, blyb du da unger stah, die böse Gens bysse di süsch z' tod.
WS15	Du hesch hüt am meiste glehrt un bisch ordlig gsi, du darfsch früecher heiga aus - als - die angere.
WS16	Du bisch no nid gross gnue, für ne Fläsche Wÿ usztreiche; du muesch zersch no chlei wachse un grösser wärde.
WS17	Gang, bisch so guet un säg dÿr Schweschter, sie söui Gchleider für eui Mueter fertig näje un mit der Bürschte suber mache.
WS18	Hättisch du ne gchennt !  de wär es angers use cho, un es tät besser um ihn stah.
WS19	Wär het mer mÿ Chorb mit dem Fleisch gschtole ?
WS20	Är het grad derglÿche ta, wie wenn sie  [oben eingefügt:] ne  zum Drösche bschteut hätte; si hiis aber säuber gmacht.
WS21	Wäm het er die neui Gschicht erzeut = erzellt =
WS22	Me muess lut brüele, süsch verstiit er is nid.
WS23	Mir sy müed un hei Durscht.
WS24	Wo mer geschter z' Abe zrugg chöme, sy die andere scho im Bett gläge un hei fescht gschlafe.
WS25	Dr Schnee isch letschti Nacht bi üs blÿbe liege; aber hüt am Morge isch er vergange.
WS26	Hinger üsem Hus schtange drü schöni Öpfubüümli mit rote n Öpfeli.
WS27	Chöit dr nit no nes Ougeblickli uf is warte, de gange mer mit ech.
WS28	Dir dörfet nit settigi  [unterstrichen:] Dummheite  trÿbe. - Kindereinen = dumme Sachen = [unterstrichen:] eifäutigs Züg.
WS29	Üsi Bärge sÿ nid grad höch; euer sÿ viu höcher.
WS30	Wie mängs Pfung Wurscht un wie viu Brot wiit er ?
WS31	J verstah n ech nid, dir müesst es bitzeli luter rede.
WS32	Sÿ Brueder wott für sich zwü schöni neui Hüser i euem Garte baue.
WS33	Das Wort isch ihm vo Härze cho.
WS34	Das isch rächt gsi von ne.
WS35	Was hocke dert für Vögeli uf däm Mürli obe ?
WS36	Die Bure hii feuf Munine un nün Chüeh un zwöuf Sachäfli vors Dorf bracht; die hii si wöue verchoufe.
WS37	D' Lüt sÿ hüt aui dusse n uf em Fäud un mäje.
WS38	Gang nume, der brun Hung tuet dr nüt.
WS39	J bi mit de Lüt da hinger über d' Matte is Chorn gfahre.
