---
Bogennummer: '45820'
Ort: Horben
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.151565'
...
WS1	Im Winter flüge di düre Bletter i der Luft desume.
WS2	's hört bau uf schneie, de wird de ds Wätter ume besser.
WS3	Tue Chole i Ofe (tue schaute), dass d' Miuch gli afat choche.
WS4	Dä guet aut Ma isch mit em Ross dür ds Isch broche u-n-i ds chaute Wasser gheit.
WS5	Er isch vor vierne oder sächsne Wuche gschtorbe.
WS6	Dr Füür isch z' schtarchs gsi, d' Chüeche si ja ungefer ganz schwarzi.
WS7	Er isst d' Eier gäng ohni Sauz u Pfäffer.
WS8	D' Füess tüe mer grüsli weh, i glübe, i heg se dürglüffe.
WS9	I bi bi der Frou gsi u ha res gsit, u si het gsit, si weūs de der Tächter o sägge.
WS10	J wotts nie meh mache.
WS13	's si schlächti Zite !
