---
Bogennummer: '45820'
Ort: Horben
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.151565'
...
WS14	Mis liebe Ching, blib da unger stah, di böse Gens bisse di z' tod.
WS15	Du hesch hüt am meischte glehrt u bisch es liebs gsi, du darfsch ender hi aus di angere.
WS16	Du bisch no nit grosse (weiblich: grossi) gnue, für ne Fläsche Wi usztreiche, du muesch no zersch echli wachse u grösser wärde.
WS17	Bis so guet u gang säg dir Schwöschter, si söū d' Chliider für eui Mueter fertig näje u suber bürschte,
WS18	Hättsch ne gchennt ! de wärs angers cho un-es schtieng besser um ne.
WS19	Wär het mer mis Chörbli mitem Fleisch gschtole ?
WS20	Er hat gmacht, wi we si ne hätte zum Trösche bsteūt; aber si his säūber gmacht.
WS21	Wäm het er die neui Gschicht erzeūt ?
WS22	Me mues lut brüele, süsch verschtieht er is nid.
WS23	Mer si müed u hi Turscht.
WS24	Wo mer geschter em Abe si zrügg cho, si di angere scho im Bett gläge u hi gschlafe.
WS25	Der Schnee isch di Nacht blibe lige, aber am Morge hets ne gschmuuze [?].)
WS26	Hinger üsem Hus schtöh drü schöne Öpfubühmli mit schöne Öpfelene.
WS27	Chüht er nid no nes Uhgeplickli warte, de göh mer mit ech.
WS28	Dihr törfid nid settig Lölereie tribe.
WS29	Üser Bärge si nid grad eso höch, euer si viu höcher.
WS30	Wi mängs Pfung Wurscht u wiviu Brot wettit er ?
WS31	I verschtah nech nid, dir müesst echli luter rede.
WS32	Hiht der kes Bitzli wissi Sipfe für mi uf mim Tisch funge ?
WS33	Si Brueder [das erste 'e' ist nachträglich oben zwischen 'u' und 'd' eingesetzt] wott zwü schöni neue Hüser i euem Garte boue.
WS34	Das Wort isch im vo Härze cho.
WS35	Dasch räscht gsi vonne.
WS36	Was hocke da für Vögeli ufem Müürli obe ?
WS37	D' Pure hi föif Schtiere u nün Chüe u-n-es Dotze Schäfli vor ds Doef brunge, die hi si weūe verchuhfe.
WS38	D' Lüt si hüt au uf em Fäud u mäje.
WS39	Gang nume, der bruun Hung tuet der nüt.
WS40	I bi mit de Lüte dert hinger über d' Matte i ds Chorn gfahre.
