---
Bogennummer: '45826'
Ort: Leber
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.904572'
...
WS2	Äs hört gli uf schneie, de wird ds' Wätter ume besser.
WS3	Tue Choli in Ofe, dass d' Milch bal' chochet.
WS4	Dä guet aut Ma isch mit em Ross dür d' s Isch broche un isch i ds' chaut Wasser gheit.
WS5	Är isch vor vier oder sägs Wuche gschtorbe.
WS6	Ds Für isch z' starch gsi, d'Chueche si ja ungefür ganz schwarz bränntet.
WS7	Är tuet d' Eier gäng oni Salz u Pfäffer ässe.
WS8	D' Füess tüe mer hert weh, i gloube i heig si düre glüffe.
WS9	I bi bi der Frou gsi u ha-res gseit, u si het gseit, si wölls de dm Meitli o säge.
WS10	I wills de o nimme tue.
WS11	I houe dr de gli mit dr Suppeche-ṵe [hier setzte der Lehrer zwei Punkte unter 'u' ] uf d' Ohre, du Aff.
WS12	Wo geisch du h i i [vgl, Kommentar unten], sölle mer o mitr cho.
WS13	Äs sy schlächti Zite.
WS14	Mis liebs Chind, blieb da nide stah, di böse Gäns b i i sse [vgl. Kommentar unten] di süsch ztod.
