---
Bogennummer: '45831'
Ort: Schärlig
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.065715'
...
WS4	Dä guät aut Ma isch mit äm Ross dör ds Isch brochhä und id s' chaut Wasser gheit.
WS5	Är isch vor viär oder sächs Wuchä gschtorbä.
WS6	Äs het d' schtarch brunnä, d' Chuächä si undä ganz verbräntät.
WS7	Är isst d' Eier gäng (immer) oni Sauz und Pfäffär.
WS8	D' Füäss tüi mär ä so weh, i glouba, i sig dür gloufä.
WS9	I bi bi där Frou gsii und hann-er-es gseit, und si het gseit, si heigs ou wöuä dr Tochtär sägä
WS10	I wotts ou nümmä machä.
WS11	I schlad-er grad dr Chochlöffu um d' Ohrä ume, du Aff !
WS12	Wo geischt hii, söu ä-mär mittär cho ?
WS13	Äs isch ä schlächti Zitt
WS14	Mis liäbs Chind, bliib da undä schtah, di bösä Gänsä bissä di z' tod !
WS15	Du hescht hüt äm meischte glehrt und bischt ordlig gsi, du darfscht de früächär (endär) hei as di andärä.
WS16	Du bisch no nid grossä gnuä, ä Fläschä Wii uszufä (usztrinkä); du muäscht zerscht no ä chli wachsä und gr͡ösär [im Original steht über 'o' zunächst der Bogen und darüber die Pünktchen!] wärdä. 
WS17	Gang, bis so guät und säg dinnär Schweschter, si söu d' Chleider für euii Muättär fertig büäzä und  [darunter eingefügt:] suber   bürschtä.
WS18	Hättäsch-nä b' chönnt !  de wärs andrisch cho und äs stüänd bessär um ne.
WS19	Wär het-mer mi Chorb mit äm Fleisch g' schtolä ?
WS20	Är het ä so ta, as hättä 's nä zum Dröschä bsteut; si heis aber säubär gmacht.
WS21	I wäm het-er di nüi Gschicht verzëut ?
WS22	Me muäe lut brüäla, süscht verschteit-er is nid.
WS23	Miär si müad und hei Durscht.
WS24	Wo-mär gester z' Abä ([unterstrichen:] nächti) zrugg cho si, isch aus scho im Bett gläge & het fescht gschlā̈fe [Im Original ist über 'a' ein Querstrich und darüber sind die Pünktchen zu sehen.]. ̨
WS25	Dr Schnee isch di letscht Nacht bi üs ligä blibä, aber hüt am Morgä isch-er vergangä.
WS26	Hinder üsäm Huus schtai drüi schöni Öpfelböimli mit rotä Öpfälänä.
WS27	Chönit-er nid äs Ougäblickli ufis wartä, de chöme.mer mit-äch.
WS28	d' Ir dörfit nid so chintsch tuä. (D' ir dörfit nid sötigi Chinderiie tribä.)
WS29	Üsär Bärgä si nid ä so höch, euär (öiär) si viu höchär.
WS30	Wi mängs Pfund Wurscht und wi mängs Brot weit-er ?
WS31	I verschtan-ech nid, ir müässit ä chli lütter redä.
WS32	Heit-er ä kes Schtückli wissi Seipfä für mi uf mim Tisch fundä ?
WS33	Si Brüädär wott zwöi schöni nöii Hüsär i öiäm Gartä (innä) bouä.
WS34	Das Wort isch-äm vo Härzä cho.
WS35	Das isch rächt gsi von-äch.
WS36	Was hockä da für Vögäli uf äm Mürli obä ?
WS37	D' Burä hei füf Ochsa und nün Chüä und zwöuf Schäfli vor s' Dorf brungä, wo si hei wöuä verchoufä.
WS38	D' Lütt si hüt au uf-em Fäüd ussä und mäiä.
WS39	Gang numä, dr brun Hund tuät-er nüd.
WS40	I bi mit denä Lüttäâ da hinde uber z' Land iä i z' Chorn gfahrä.
