---
Bogennummer: '45893'
Ort: Lungern
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.096997'
...
WS1	Im Winter flodrid diä ddirä Bletter i dr Luft umä.
WS2	'Sgid glii nah mid schniiä, und de wird 's Wätter wider besser.
WS3	Leggis Cholä-n-a, dass is d'Milch eppä-n-einisch siidt.
WS4	Dä alt giod Ma ischt midem Ros durs Iisch prochä und is chalt Wasser ghiid.
WS5	Aer ischt vor viär odr sächs Wuchä gschtorbä.
WS6	D's Fiir ischt z schtarch gsii, d'Chiochä sind unnäfir ganz a-brendt.
WS7	Dä isst d'Eier eister ohni Salz und Pfäffer.
WS8	D'Fiäss tiäm-m'f heilos weh, ich gloibä ich ha si durägluffä.
WS9	Ich bi bi d'r Frouw gsii und han 'r 's gseid, unddio seid si, si wells oi irem Meitli sägä.
WS10	Ich will's gwiss niä meh machä!
WS11	Ich schla d'r doch grad d'r Chellä um d'Ohrä-n-umä, dui Aff !
WS12	Wo gaascht is dui hi, selli miär mit'r cho ?
WS13	Aes sind schlächti Ziitä !
WS14	"Bliib is da unnä schtah, Gōf [Verdoppelungsstrich auf ""o""?], diä beesä Gens chenntid dich erbiissä."
WS15	Dui hescht am meischtä gleert und bischt äs giods gsii, dui ddarfscht friäner heiga as diä andrä.
WS16	Dui bisch nu nid Ma's gniog, um ä Fläschä Wii uisz'trinkä, dui mioscht is nu erscht wachsä und gresser wärdä.
WS17	Bis-sä giod gang und säg diiner Schweschter, sie sell d's Gwand fir ewwi Miottr fertig biäzzä und uisbirschtä.
WS18	Hättischt ä dui kennd, de wärs anders cho uns äs schtiänd besser um nä.
WS19	Wär ded miär d'r Chorb mid-em Fleisch dri gschtolä ?
WS20	Aer hed ta, as ob si inn zum Ddreschä ddinged hätti; si heind's dio abr ohni inn g'macht.
WS21	Wäm hed är diä niww Gschicht verzelld ?
