---
Bogennummer: '45905'
Ort: Latterbach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.865958'
...
WS1	Im Winter flüge di trochene Bletter i dr Luft ume.
WS2	Es hört gli uf schnye, de würd de z' Wätter umhi besser
WS3	Tue Chole i Ofe, dass d' Milch gli chochet.
WS4	Dr guet alt Ma isch mit däm Ross dür z Isch ahi kit grad i-z chalt Wasser
WS5	"Är isch vor vier oder sächs Wuche gschorbä [zwischen 'h' und 'o' ist oben 't' eingefügt: ""gschtorbä""]."
WS6	Z' Für isch z' schtarch gsi, dr Chueche ischt ja ganz verbrönnta
WS7	Är isst d' Eier ging ohni Salz-u-Pfäffer.
WS8	D' Füess düe mer grüsli weh, i glube i hig dürglüffä.
WS9	I bi bi dr Frau gsi u hares gsit, u sie het gsit, sie wellis o ihrer Tochter säge
WS10	I wills o nit meh mache.
WS11	I gibe dr de gli mit dem Chochchelli über d' Ohre, du Aff.
WS12	Wo gischt du hi, sollemer mit dr cho ?
WS13	"Äs si schlächti Ziti [oder eher ""schlächté Zité""?]."
WS14	Mis liebe Chind, blieb hie unne [Verdoppelungsstrich auf 'n'] stah, di bösä Gäns bisse di süsch z' tod.
WS15	Du hesch hüt am mischte glehrt u bischt artig gsi, du darfst ender him als die andere
WS16	Du bischt no nit gross gnue für ne Fläschä Wie us z' triche, du muesch no zerscht e chli wagse.
WS17	Gang, bis so guet u säg dir Schweschter, si sölli di Chlider für eui Muetter fertig neie u [oben eingefügt:] se   no bürste
WS18	Hättischt du ne besser kennt, de wes andersch cho, u-n äs täti besser schta mitem.
WS19	Wär het mi Chorb mit däm Flisch gschtole ?
WS20	Är het äso ta, als hätti säna zu Drösche bstellt ka; si hies aber sälber gmacht
WS21	Wäm het är di neui Gschicht verzellt ?
WS22	Mi muess lut brüele, süscht khört är n us nit.
WS23	Mier si müed u hi Durst
WS24	"Wo mier geschter am Abe si him cho, si di andere alli scho im Bett gsi u hi fescht glafe [zwischen 'g' und 'l' ist oben 'sch' eingefügt: ""gschlafe""]."
WS25	Dr Schnee ischt leschti Nacht üs bliebe liege, aber hüt isch er furt.
WS26	Hindr üsem Hus si drü schöni Öpfelbümleni mit rote Öpfelini.
WS27	Chönt ihr nid no a-n Ugeblick uf üs warte, de gamer de o mit ech.
WS28	Ihr dörfet nit settig Chinderstriche spiele.
WS29	Üser Bärge si net ä so höii, euer si vill höüier.
WS30	Wieveil Pfund Wurscht u wieviel Brot solltet ier ha ?
WS31	I verstah nech doch nit, ihr müesst luterer rede.
WS32	Hit ihr e ki wissi Séfa für mich uf em Tisch gfunde ?
WS33	Si Brueder wott zweu schöni Hüser i euem Garte la buä.
WS34	Das Wort ischem vo Härze cho
WS35	Das ischt rächt vone gsi.
WS36	"Was sitze de do [oder ""da""?] für Vögelini uf däm Müürli obä."
WS37	Die Purä hi 5 Ogsä u nün Chüä u 12 Schafleni vor z' Dorf pracht, di hiesi wellä verchuufä.
WS38	Die Lüt si hüt alli ufem Fäld u tüä meïe.
WS39	Gang numä, dr brun Hund tuet dr gwüss nüt.
WS40	I bi mit dene Lüte ha hinder über di Matte iz Kora gfahre.
