---
Bogennummer: '45913'
Ort: Spiezwiler
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 79ab159f-a536-40fd-9266-b0bfe4f8b295
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.524846'
...
WS1	Im Winter flüge die trochene Bletter ider Luft ume.
WS3	Tue Chole i Ofe, dass d'Milch glie afeet choche.
WS5	Är isch vor vier oder sächs Wuche gschtorbe.
WS7	Är isst d'Eier geng ohni Salz u Pfäffer.
WS8	Pfüess düe mer ganz weh, i glube, i higese dürigloffe.
WS10	I wills o nimme due[tue].
WS11	I gibeder glie mit dem Chochlöffel um d'Ore, du Aff.
WS12	Wo gisch du hie, söli öpe o miter cho?
WS13	Äs sie schlächti Zite.
WS15	Du hescht hüt am mischte glert u bisch artig gsi, du darfsch ender him als die andere.
WS19	Wer het mi Chorb mit dem Flisch gschtole?
WS23	Mir sie müed u hie Turscht.
WS26	Hinder üsem Hus stah drü schöni Äpfelbümli.
