---
Bogennummer: '45926'
Ort: Waldegg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.380380'
...
WS2	Es hört gli uf schnyie, de w[ii]rd ds Wätter umhi besser.
WS3	Tue Chole n in Ofe, dass d'Milch gli erwallet.
WS4	Dä guet alt Ma ischt mit dem Ross uf em Ysch ibbroche un i ds chalt Wasser ghiit.
WS5	Aer ischt vor vier oder säx Wuche gschtorbe.
WS6	Ds Für ischt dschtarchs gsi, [g] Chueche si ja unna ganz schwarz abbrönn[d].
WS7	Aer isst d'Eier geng ohni Salz u Pfäffer.
WS8	Pfüess tüe m mer hert weh; i glu̱u̱be (wie in Lu̱nge), i hy̱g (wie in Tri̱e̱b) si dürglüffe.
WS9	J bi m bi n der Frou gsi u harra 's gsyd, si hed gsyd, si well's ihra Töchter o säge.
WS10	J will 's o nimmeh mache. 
WS11	J schlan der grad mit dem Chochchelli um d'Ohre n, du Aff!
WS12	Wa gyscht du hy? Sellem mer mit der gah?
WS13	Es si schlächt Zyti.
WS14	Mis lieb Chind, blyb hie unna stah; di böseng Gens byssen di z'tod.
WS15	Du hescht hüt am myschte glehrd u bischt e [tolla] gsi; du tarfscht früeiier hym, w[a]der di andere!
WS16	Du bischt no nid grossa gnueg, fürne Fläscha Wy usztriche, du muescht z'erscht no e chli waxe u gröser wärde.
WS17	Gang, bis su guet u säg dir Schweschter, si setti die Chlyder für öüi Muetter fertig näie un mit der Bürschte sufer mache.
WS18	Hättischt du n ne bchönnd, de wä 's anders cho un es tät besser um ne schtah. 
WS19	Wär hed mier mi Chorb mit dem Flysch gschtole?
WS20	Aer hed grad ta, wie [...] se ne hätte zum Drösche bschtelld; si hys aber du sälber gmacht.
WS21	Wäm hed er die nüii Gschicht erzelld?
WS22	Mi muess lut brüele, süscht verschtyd er is nyd.
WS23	Mier si mmüedi u hy Turscht.
WS24	Geschter am Abe, wammer sin [em]zrugg cho, sin die andere schon im Beg gsi u fescht am Schlafe.
WS25	Die Nacht het's der Schnee bin üs glyd; aber hüt am Morgen ischt er gschmolze.
WS26	Hinder üsem Huus schtan drü schönni Opfelbü̱mleni (wie in Zü̱rich) mid roten Öpfellene.
WS27	Chönnt J(h)er nit no es U̱gemblickli (wie in Ru̱ssland) uf is warte; deng gammer mid [u]ch.
WS28	D Jhr (besser: d Jer) dörft nid settig Chinderyie tribe.
WS29	Üser Bärga sinnig gar höi, öüer si vil höier. 
WS30	Wiviel Pfund Wurscht u wiviel Brot wy̱ter? (Wie in Tri̱e̱b)
WS31	J verschtan [u]ch nid, Jer müesst es bitzli luter rede.
WS32	Hyt Jer nid es bitzli wissi Syffa für mi uf em Tisch gfunde?
WS33	Sim Brueder wot zw[ei] schönni nüii Hüüser für ine n in öüem Gartem bu̱ṵe. (wie Ru̱ssland, wie Ṵhr)
WS34	Ds Wort ischt im vo Härze cho.
WS35	Das ischt rächt gsi von inen.
WS36	Was sitzen da für Vögelleni oben uf em Mürli?
WS37	Pure hy füf Oxe un nün Chüeh u zwölf Schäfleni vor ds Dorf praacht, die hy si welle verchu̱u̱fe. (Wie in Ru̱sland.)
WS38	D'Lüt si hüt alli dussen uf em Fäld u mmäie.
WS39	Gang numme, der brun Hund tuet dier nü̱d (Wie in ü̱ber)
WS40	J bim mit de l Lü̱ten (wie ü̱ber) da hinderhi uber d'Matta i ds Chore gfahre.
