---
Bogennummer: '45929'
Ort: Ringgenberg
Gid: 19513
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-05-07 16:57:35.545458
Änderungsdatum: 2022-05-10 14:20:09.682361
...
WS1	 Im Herbschd flügen die trochänen Bletter in dr Luft umha <(Im Winter liegt Schnee)>
WS2	Äs schnied nümme lang, den bessered z' Wätter umhi.
WS3	Tuon no Schihter <(Holz)> alegen, dass d' Milch glij choched. <(Wir brauchen keine Kohlen)>
WS4	Där guot alt Man ischd mit dm Ross im Isch ihkied un i ds chalt Wasser kihd.
WS5	Är ischd vor vier ol sächs Wuchen gstorbe̱n <(en fast än)>
WS6	Äs hed z'fast brunne, jetz sihn Kǔochen unnauf ganz verbrönnt.
WS7	Är isst d' Eier geng ohni Salz u Pfäffêr. <(ê leicht)>
WS8	D' Füess tüen mr ä so starch weh, i glauben, si sihgen dür glüffen.
WS9	I bin bir Frou gsihn un harras gseid, u si hed gseid, si wells o ihrem Meitschi sägen.
WS10	I wills o nümme machen !
WS11	"I giben dr den glij mit dr Chochchellen an Grind, du Chalb  <(seltener ""du Aff"" > {rechte Klammer fehlt} ."
WS12	Wa geischd hin ? Söllen mr mit dr chon ?
WS13	Äs ischd än böhsi Ziht.
WS14	Liebs Chind, blihb hie aha, süschd bihssen di d' Schlangi. <(Gänse sind hier keine)>
WS15	Du heschd hüt am meischten glehrd u bischd äs tolls gsihn <(männlich  ä tolla gsihn)>  du darfst ender hein als die andren.
WS16	Du bischd no z chlihnna für nä Fläscha Wihn usztrihchen {zunächst getrennt 'us ztrihchen', dann Verbindungsstrich zwischhen 's' und 'z' eingefügt}, muoschd no ä chlihn wagsen u gröser wärden.
WS17	Bis so guod {zunächst 'guot', dann 't' mit 'd' überschrieben} u gang säg dihr Schwester, si selli d' Chleider für öwwi Muoter fertig näijen u mit dr Bürsten butzen.
WS18	Hättischd du nänn bchönd, de wäs anders usa chon un är wän wöhler drann.
WS19	Wär hed mier min Chorb mit dm Fleisch gnohn {hier ist das 'o' im Wort ganz eng geschrieben, deshalb ist darüber ein 'o' zur Klarstellung eingefügt} ?  <(oder gstolen ?)>
WS20	<(Hier wachsen keine Getreidearten, man kennt das Dreschen nicht)>
WS21	Wämm {Verdoppelungsstrich auf 'm'} hed är die nüwwi Gschicht ärzelld {am 'e' wurde korrigiert, deshalb steht ein 'e' darüber zur Klarstellung} ?
WS22	Mu muos luht schrijen, süschd versteid är is nüd <(fast nöd)>
WS23	Mier sin müöd uͧ̆n {'ŭ' oben steht zur Klarstellung} hei Turst.
WS24	Wam mier gester am Aben si zrugg chon, sihn die andren schon im Bett gsihn ŭn hei gschlahffen { zunächst 'gschlaffen', dann zwischen 'a' und  1.'f' oben 'h' eingefügt; dann unten zur Verdeutlichung  'gschlahffen.' nochmals aufgeschrieben} .
WS25	Die Nacht hed dr Schnee agheicht, aber { Buchstabe ('d'?) ist durchgestrichen} am Morgen ischd er umhi gschmolzen.
WS26	Hinder ühsem Huus standen drij schöhnni Öpfelböimleni mid roten Öpfellenen.
WS27	Chönnt ie̱r nüd no äs Bitzelli uf ühs warten, den gangen mier den mid uͧ̆ch {'ŭ' steht zur Klarstellung über 'u'}.
WS28	Ier dörft nüd ä so chindlichs Zühg trihben {über 'i' ist kein Punkt, sondern ein kleiner Strich} . <(Ier dörft nüd huͧ̆uͧ̆sellen)>
WS29	Ühser Bärga sihn nüd ä so ganz höij, eüwwer sihn viel die höijren.
WS30	Wie mengs Pfund Wurst u wie mengs Brot wolltid {zunächst 'wolltd', dann zwischen 't' und 'd' oben 'i' eingefügt} ier ?
WS31	I verstahn ŭch nüd, ier müesst äs Bitzelli lühterrer reden.
WS32	Heit ier ä keis Stückli <(Bitzli)> Seiffa für mi uf mihm Tisch gfunden ?
WS33	Sihn Bruoder wollt in eüwwem Garten zwei schöhnni, nüwwi Hüüser lan buwwen.
WS34	Das ischd imm von Härzen chon.
WS35	Da heit ier rächt ghäben.
WS36	Was sihn das für Vögelleni dert obna ufem Mührli ?
WS37	<(Ochsen kennt man hier nicht)>  D' Buuren hein nühn Chüe u zwölf Schaf vor ds Dorf gjagd, si wollten sa verchoŭffen.
WS38	D' Lüht sihn hüt alli dussen uf em F[ä]ld {zunächst wohl 'Fe' und dann 'e' mit 'ä' überschrieben und ergänzt} am Mäjen.
WS39	Gang nummen, dr bruhn Hund {zunächst 'Hud', dann zwischen 'u' und 'd' oben 'n' eingefügt}  tuot dr nühd.
WS40	<(Hier gibts keine Kornwiesen.)>
