---
Bogennummer: '45939'
Ort: Zaun
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.932234'
...
WS17	Gang, bis su güod und säg diner Schweschter, si selli d'Chleider fir ewi Müötter fertig näjen und mit dr Birschten süfer machen.
WS18	Hättischt dü nen bchennt ! de wä's anders chun, und äs täti besser um nen stahn.
WS19	Wär hed mier min Chorb mit Fleisch gschtolen ?
WS20	Aer tüöd eso, es wes nen zum Dreschen bstelld hätten; si hei's aber sälber t'tahn
WS21	Wäm hed är die niw Gschicht virzelld ?
WS22	Me müöss lüt schri'en, suscht virsteid är is nid.
WS23	Mer sin mied und hein Durscht.
WS24	Wa mier nächti sin ztugg chun * [vgl. Kommentar], da sin die andren schon im Bett glägen *  und fescht am Schlafen gsin.
WS25	Der Schnee ischt disi Nacht bin is bliben liegen, aber hit am Morgen ischt er gschmolzen.
WS26	Hinder isem Hüs stähn dri scheeni Epfelbeimelleni mit roten Epfellenen.
WS27	Chennd iehr nid no es Oigenblickelli uf is warten, den gän mier mid ewch.
WS28	Iehr derft nid a seler Chinderieen triben.
WS29	Iser Bärge sin nid gar heji, ewer sin viel heher.
WS30	Wieviel Pfund Wurscht und wieviel Brod weid iehr han ?
WS31	I virstahn ewch nid, iehr miesst es bizzelli litterer sprächen.
WS32	Heid iehr e keis Stickelli wiissi Seifen fir mi uf mim Tisch funden ?
WS33	Sin Brüöder wil si zwei scheeni niwi Hiiser in ewem Garten buwen.
WS34	Das Wort ischt im vom Härzen chun * [vgl. Kommentar].
WS35	Das ischt rächt gsin vun ihnen * [vgl. Kommentar].
WS36	Was sitzen da fir Vegelleni uf däm Miirli ?
WS37	Die Büren hein fif Oxen und nin Chieh und zwölf Schäfelleni vor ds Dorf bracht, die hein si wellen virchoifen * [vgl. Kommentar].
WS38	D'Lit sin hit alli düssen uf em Fäld und mäijen.
WS39	Gang nummen, der brün Hund tüöd dr niid.
WS40	I bin mid den Liiten da hinderhi uber die Matten ī ds Choren gfahren.
