---
Bogennummer: '45946'
Ort: Geissholz
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.330731'
...
WS1	Im Winter fleigen die trocheneⁿ Bletter in der Luft umha. 
WS2	Es (Äs) herd angänds üf schniieⁿ, de wird z'Wätter umhi besser.
WS3	Tö Choleⁿ in Ofeⁿ, dass d'Milch bald afad chocheⁿ.
WS4	Där göd alt Man ischt mid em Ros uf-em Ysch ighyd und id's chald Wasser ghyd.
WS5	Är ischt vor vier old sägs Wucheⁿ gschtorbeⁿ.
WS6	D's Fiir ischt z'schtarch gsyn, d'Chöcheⁿ si ja unnenüf ganz schwarz worden.
WS7	Är isst d'Eier ohni Salz und Pfäffer.
WS8	D'Fiess tie-mr elend weh, i glöibeⁿ i ha-sa dir gliffen.
WS9	I bi bin-dr Frou gsyn und harr-es gseid, und si hed gseid, si wellis irer Tochter o sägeⁿ
WS10	I wils nimme [Verdoppelungsstrich auf 'm'] umhi macheⁿ.
WS11	I giben-dr den nü bald mid em Chochleffel uf d'Ohreⁿ, dü Aff.
WS12	Wa geischt-hin, selle-mer mit-er gahn
WS13	Es syn schlächt Zyti.
WS14	Mis lieba Chind, blyb da appha stan, süscht byssen-di die besen Gäns z'tod.
WS15	Dü heschd hyt em meischte glerd und bischt ordlech gsyⁿ, dü darfscht friejer heiⁿ gan als die andereⁿ.
WS16	Dü bischt no nid gross gnög, um e Fläsche Wyn üsztricheⁿ, dü möscht zerscht no eppis wagsen und gresser wärdeⁿ. 
WS17	Bis so göd und gang säg dir Schweschter, si selli d'Chleider fir ewwi Möter fertig näien und se mid der Birschteⁿ putzeⁿ.
WS18	Hättischt dü-ne bchend, de wäs anders chuⁿ, und es schtiendi besser um in.
WS19	Wär hed mier my Chorb Fleisch gschtoleⁿ ?
WS20	Er hed taⁿ, als hätte si-n-en zum Dreschen bschtelld, sie heis aber sälber gmacht.
WS21	Wäm hed-er die niew Gschicht verzelld ?
WS22	Me mös lüt brieleⁿ, süscht verschteid er ys nid.
WS23	Mier sy mied und hein Turscht.
WS24	Wa mr nächti si zrugg chuⁿ, syn die anderen schon im Bett glägen und syn fescht am Schlafen gsyⁿ.
WS25	Dr Schnee ischt die Nacht bin ys blieben ligen, aber am Morgen ischt er gschmulzen.
WS26	Hinder ysem Hüs schtän dry scheeni Epfelbeimleni mid roten Epfelenen.
WS27	Chennd-er nid no es schuzli uf is warteⁿ, de cheme-mer de mid-ech.
WS28	Ihr derft nid setteger Chinderien trybeⁿ.
WS29	Yser Bärga sy nid grad heei, ewwer sy vil heeier.
WS30	Wie mengs Pfund Wurscht und wie vil Brod weid-er ?
WS31	I verschtan-ech nid, ihr miesst es bizli lüter prichten.
WS32	Heid-ihr nid es bizli wyssi Seifeⁿ fir mi uf em Tisch gfundeⁿ ?
WS33	Syn Bröder wollt zwei scheeni niewi Hiiser in ewwem Garteⁿ buweⁿ.
WS34	Das Wort ischt-em vuⁿ Härzeⁿ chuⁿ
WS35	Das ischt rächt gsyⁿ vun-en-eⁿ.
WS36	Was sitzen da fir Vegelleni uf däm Miirli ?
WS37	D'Büüreⁿ heiⁿ fiif Munega und niin Chie und zwelf Schäfleni vor ds Dorf üsa bracht, die hei-si wellen verchöifen.
WS38	D'Liit syn hyt alli düssen uf-em Fäld am Määien.
WS39	Gang numeⁿ, där brün Hand töt-er nyd.
