---
Bogennummer: '45947'
Ort: Wiler
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.726659'
...
WS1	Im Wïnter fleïgen dï trochenen Bletter ïn der Luft umha
WS2	Äs heerd angäns üf z- schnyen, de wïrd ds Wätter umhï besser.
WS3	Töö Cholen ïn Ofen, das d'Mïlch afad chochen.
WS4	Dr göd alt Man ïscht mïd em Ros dïr ds Ysch brochen un ï ds chalt Wasser ghyd.
WS5	Är ïscht vor vïr old säx Wuchen gschtorben.
WS6	Ds Fyr ïscht z'schtarchs gsy, dï Chöchen sï ja unnefïr ganz schwarz verbrennt.
WS7	Är ïsst dï Ei̱er geng oni̱ [in beiden Fällen ist 'i' unterstrichen und darüber steht durchgestrichenes 'y'¨]  Salz u Pfäffer
WS8	D'Fïess tï mer gryslï (elend) weh, ï glöiben, ï heïgï sï dïrglïffen
WS9	I bïn bï der Frou gsyn u ha r es gseid, u sï hed gseïd, sï heïgïs o ïhrem Meïtlï [darüber steht] ïhrer Techter   wellen sägen.
WS10	I wïll ses o nïmmen emumhï tön !
WS11	I brätschen [darüber steht:] (schlan) dï gly eïs mïd dem Chochleffel um d'Ohren, dü Aff !
WS12	Wa geïscht dü hïn, selle mer mïd der gahn ?
WS13	Ä sy schlächt Zyten.
WS14	Mys lïbs Chïnd, blyb hï unnefïr schtahn, dï beesen Gens bysen dï tot.
WS15	Dü hescht hyt am meischten glehrd u bïscht lïbs gsyn, dü tarfscht frïjer gägen heïn als dï anderen
WS16	Dü bïscht nu nïd grosse gnög, fïr ne Fläschen Wyn üsztrychen, dü möscht zerscht no em Bïtz waxen u greeser wärden
WS17	Gang, bis se göd u säg dyner Schweschter, sï selltï dï Chleïder fïr ewï Möter fertïg nähjen [darüber steht:] (bïïssen)  u mïd der Bïrschten süfer machen
WS18	Hettïscht dü ne bchennd ! de wä's anders chun un äs schtïendï besser um ïn.
WS19	Wär hed mer myn Chorb mïd Fleïsch gschtolen ?
WS20	Är hed e so tan, as hätte s nen zem Treschen bschtellt; sï heï s'aber sälber tan.
WS21	Wäm hed er dï nïw Gschïcht erzelld ?
WS22	Me mös lüüt möhlen, suscht verschteïd er ïs nïd.
WS23	Mïïr si mïïd u heïn Durscht.
WS24	Wa mer geschter am Aben sÿ̱n zrugg chun, dü syn dï anderen schon ïm Bett gsyn (glägen) u sï fescht am schlafen gsyn.
WS25	Dr Schnee ïscht dïsï Nacht bïn ys blïbe lïgen, aber hyt am Morgen ïscht er gschmolzen
WS26	Hïnder ysem Hüs schtähn dry scheennï Epfelbäïmlenï mïd roten Epfeltenen
WS27	Chennd er nïd no es Oïgemblickli uf ys warten, denn gäh mïr mïd e=ch [darüber steht:] ech.  [Ergänzung:] je nach Betonung auf mit od euch ['mit' und 'euch' sind unterstrichen]
WS28	Ihr terft nïd e selïs Gganggelwärch tryben.
WS29	Yser Bärge sy nïd e sevel heï, ewwer sy vïl heecher.
WS30	Wïvïl Pfund Wurscht u wïvïl Brod weïd er han ?
WS31	I verschtahn ewch nïd, ïhr mïïsst es Bïtzlï lüterer reden.
WS32	Heïd ïhr [darüber steht:] (er) [Kommentar des Lehrers:] {je nach Betonung}  keïs Schtïckli wyssï Seïfen fïr mï uf mym Tïsch gfunden ?
WS33	Syn Bröder wïll im zweï scheennï nïwï Hyser ïn ewem Garten buwen.
WS34	"Das Wort ïscht ïm vuͦn [besser lesbar: ""vu ͦ n"" mit kleinem 'o' über dem 'u'] Härzen chun."
WS35	Das ïscht rächt gsyn von ewch
WS36	Was sïtzen da fïr Vegeltenï uf däm Myyrlï ?
WS37	Dï Püüren heïn fyf Oxen u nyn Chï u zwelf Schäflenï vor ds Dorf bracht, dï heï s'wellen verchoïfen.
WS38	D'Lyyt syn hyt allï düssen uf em Fäld u mähjen
WS39	Gang numen, der brüün Hand töd der nyyd.
WS40	I bï mïd de Lyyten da hïnderchï uber ds Fäld ï ds Choren gfahren.
