---
Bogennummer: '45955'
Ort: Schwarzenmatt
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.335478'
...
WS27	Chönut er ne no n' es Ougeblickli uf eus warte, de ga wer de met uch.
WS28	Ihr dörfet ['e' ist oben zwischen 'f' und 't' eingesetzt] nit e so Chinderiie triibe.
WS29	Öuser Bärga si nit sövel höi, öuwu si vel höier.
WS30	Wevel Pfund Wurscht u Brot weit dr ha ?
WS31	I verstah-n-uch nit, ihr müesst e bitz lüterer rede.
WS32	Heit ihr kes Stücki wiissi Seife für mie uf mim Tesch gfunde.
WS33	Si Brueder wott sich i euiem Garte zwö schöni nüüwi Hüser buwe.
WS34	Das Wort isch em vo Härze choe.
WS35	"Das isch rächt gsie vo ne [oder ""ue""?]."
WS36	Was sitze da für Vögelleni uf em Müürli obe ?
WS37	Di Buure hei füf Oggse u nüün Chüe u zwölf Schafleni vor s' Dorf bracht fer z' verchaufe.
WS38	D' Lüt si hüt alli usse ufem Feld für z' mieie.
WS39	Gang numme  dr bruun Hund tuet dr nüt.
WS40	I bi mit de Lüte da hinder uber d' Matte i s' Chore gfahre.
