---
Bogennummer: '45959'
Ort: Erlenbach im Simmental
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.872760'
...
WS1	Jm Winter flüge die trochene Bletter i dr Luft umme.
WS2	Äs hört gli uf mit schnï ͤ ie [über dem 1.'i' mit Trema steht 'e', dann folgt 2.'i'], de chunnt ds Wätter ŭmmi besser.
WS3	Tue Chole-n-i Ofe, dass d' Milch gli afeht choche.
WS4	Dr guet alt Maa ischt mit em Ross dür ds Jsch achi broche u i ds chalte Wasser ghi ͤ it [über dem 1,'i' steht 'e', dann folgt 2.'i'].
WS5	Är ischt vor vierne oder säxne Wuche gschtorbe.
WS6	Dr Füür ischt z' schtarchs gsi, die Chueche si ja unne-n-uf brandschwarz verbrennt.
WS7	Är isst d' Eier geng oni Salz u Pfäffer.
WS8	D' Füess tüe mer grüseli weh, i gluube, i ha si düriglüffe.
WS9	J bi bi dr Frou gsi u ha res gsiit [die zuerst über beide 'i' gesetzten 'e' sind durchgestrichen] u sie het gsiit, sie wellis ihrer Tächter o säge.
WS10	J wìll 's nid meh mache !
WS11	J schlah dr öppe de dr Chochlöffel um d' ohre, du Aff !
WS12	Wo gischt d' hi, sölle mer mit dr cho ?
WS13	Es si schlächt Zitte.
WS14	"Mis liebs Chind, blib hie nide schtah, die ['e' ist durchgestrichen: ""di""] böse Gens bisse di süscht z' Tod. "
WS15	"Du hescht hüt am vielschte glehrt u bischt gfolgigs gsi, du darfscht früejer him wäder die ['e' durchgestrichen: ""di""] andere."
WS16	Du bischt no nid grosses gnue, um-n-e Fläsche Wi usztri ͤ̀ che [über 'i' steht 'è'] , du muescht zerscht no-n-e Bitz waxe u gröser wärde.
WS17	Gang, bis so guet u säg dir Schweschter, sie sölli d' Chlider für eui Muetter fertig neje u mit dr Bürschte putze.
WS18	Hättischt Du-n-e kennt ! de we 's andersch cho u-n-äs teti besser um-n-e schtah.
WS19	Wär het mier mi Chorb mit Fliisch gschtole ?
WS20	Är het dr gliche ta, si hige-n-e zum Drösche bstellt; si his aber sälber gmacht.
WS21	Wem het er die nüji Gschicht erzellt ?
WS22	Mi mues lut brüele, suscht vrschiit er-n-es nid.
WS23	Mier si müedi u hii Durscht.
WS24	"Wo mer geschter am Abe si zrugg cho, si die ['e' durchgestrichen: ""di""] andere scho im Bett gsi u hi fescht gschlafe."
