---
Bogennummer: '45959'
Ort: Erlenbach im Simmental
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.872760'
...
WS25	Dr Schnee het 's die Nacht bi üs möge g' lege, aber hüt am Morge het 's ne gno.
WS26	Hinder  ͧ üsem  [mit hochgestelltem kleinen 'u' vor 'ü'] Huus schtah drü schöni Öpfelbümleni mit rote-n-Öpfle.
WS27	Chonnt er nid no-n-es  U ͦ geblìckli [über 'U' steht 'o' (vielleicht sogar 'O'?)] uf nes warte, de chöme mer mit-n-ech.
WS28	Jhr dörft nid söttige dumme Züg tribe.
WS29	 ͧ Üser [mit hochgestelltem kleinen 'u' vor 'Ü'] Bärge si nid grad höj, euer si höjer.
WS30	Wi mengs Pfund Wurscht u wi mengs Brot welltet er ?
WS31	J verschtah-n-ech nid, ihr müesst es bitzli luter rede.
WS32	Hit er drü Bitzleni wissi Siife für mi uf mim Tisch gfunde ?
WS33	Si Brueder wott zwü schöni nüje Hüser i euem Garte b ͦ uue [über dem linken senkrechte Strich vom 1. 'u' (fast zwischen 'b' und 'u') steht 'o'].
WS34	Das Wort ischt em vo Härze cho !
WS35	Das ischt rächt gsi vo ne !
WS36	Was sitze da für Vögeleni üf dem Mürli obe ?
WS37	Di Bure hi füf Oxe u nün Chüe u zwölf Schafleni vor ds Dorf usi bracht, di hi si welle verch ͦ ufe [über dem linken senkrechte Strich von 'u' (also tendenziell vor dem 'u') steht 'o'].
WS38	Di Lüt si hüt alli  u [durchgestrichen]  verusse-n-am Meje
WS39	"Gang nume, dr brun Hund tuet  ar [ ? überschrieben: ""er""?]  nüd."
WS40	J bi mit de Lüte da hinder uber d' Matte i ds Chorn gfahre.
