---
Bogennummer: '46004'
Ort: Mitholz
Gid: 19951
Transliterationsprojekt: Citizen Science Projekt
Original Anmerkungen: "Der Lehrer notiert am Seitenende (Unter Satz 40): \n< i = dunkles\
  \ i oder helles e .// {unter 'dunkles':} gedehnt ;  u  dunkles  u , wie franz. l'\
  \ eau  gedehnt ;  ü  entsprechend >\n"
Erstelldatum: 2022-04-13 15:26:07.237799
Änderungsdatum: 2022-04-14 18:38:56.532749
...
WS1	Im Winter flüge di trochene Bletter i der Luft umhe.
WS2	Es hört angehnds uf schnije, de wü̮rt de ds Wätter umi besser.
WS3	Tue Chole in Ofe, dass d Milch bal afeht choche.
WS4	Dä guet alt Maa ischt mit dem Ross im Ysch iibroche un i ds chalt Wasser ghit. {Steht hier ein zusätzliches Strichlein über dem 'i'?}
WS5	Aer ischt vor vier oder sächs Wuche gschtorbe.
WS6	Ds Füür ischt z schtarch gsi, d' Chueche si unne ganz schwarz aaprennt
WS7	Aer isst d' Eier ging ohni Salz u Pfäffer.
WS8	D' Füess tüe mer schüchter weh, i glu͜ube, i hi̮gi {zunächst 'hei̮gi', dann 'e' durchgestrichen} dü̮rglü̮ffe.
WS9	I bi bi dr Frou gsi u ha-n-er es gsi̮t {'sit' ist unterstrichen}, u si het gsi̮t, si wellis o ihrer Tächter säge.
WS10	I wills o nit neh tue.
WS11	I haue dr mit em Chelli uf {zunächst 'um', dann 'm' manuell überschrieben mit 'f'} d' Ohre, du Aff. <(du Lappi, di Tschifi)>
WS12	Wo gi̮scht Du hi̮, sö[a]ü̮e {zunächst getippt: 'sölle', dann über 'll' manuell gesetzt 'tü̮', wobei 1.Buchstabe schwer lesbar ist} mer mit der ?
WS13	Es ischt schlächti { zunächst 'chlächti', dann ist 's' nachträglich manuell angefügt}  Zit.
WS14	Mis lieb Chind, blib hie ni̮̇́de {über 'i' steht Akzent} stah, süscht bysse {zunächst 'bisse', dann 'i' mit 'y' übertippt} di di schüchtere Gens ztod.
WS15	Du hescht hüt am mi̮schte glehrt u hescht gattlich ta, <(bischt e tolle gsi)>, drum tarfscht du ehnder hi̮m weder die andere.
WS16	Du bischt no nit grosse gnue, für ne Fläsche Wii usztr̮e, muescht zerscht no nes bitzi waxe u gröser wärde
WS17	Bis so guet u säg dir Schweschter, si sölli d Chli̮der für eui Mueter fertig neye {zunächst 'neie, dann 'i' manuell mit 'y' überschrieben und zur Verdeutlichung nochmalsmanuell 'y' über den überschriebenen Buchstaben geschrieben} u sufer bürschte.
WS18	Hättischt du ne bchennt, de wees andersch cho un es schtuendi besser um ne.
WS19	Wär het mier mi Chorb mit em Fli̮sch gschtole ?
WS20	Aer het eso ta, wie we sie ne zum Trösche bschtellt hette, aber sie his sälber ta
WS21	Wemm het er di nüji Gschicht erzellt ?
WS22	Mi muess lut brüele, süscht versti̮t er nes net {zunächst 'nit', dann 'i' mit 'e' übertippt}.
WS23	Mier si müedi {zunächst 'müed' getippt, dann manuell am Wortende 'i' angehängt} u hi Turscht.
WS24	Wo mer geschter am Abe si zrugg cho, si die andere scho im Bett gsi {hier wurde zunächst etwas getippt, dann aber mit 'xxx' überschriben} fescht am Schlafe.
WS25	Dr Schnee ischt die Nacht bi n üs blí̮be lí̮ge, aber hüt am Morge n ischt er [g]schmolze {ggf. 1.Buchstabe zunächt 'G' und dann mit 'g' übertippt}
