---
Bogennummer: '46010'
Ort: Obbürgen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 38139f0c-6bea-49aa-a47e-72832999abb6
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.885448'
...
WS18	Hattest e dui kännt dä wärs anders uisä cho u. es bstiend besser um ne.
WS19	Wer hed mier mi Chorb mit em Fleisch g'stolä ?
WS20	Er hed so ta als hät me in zuem Dreschä b'stellt, si hend s aber selber ta.
WS21	Wem hed er die neeiw G'schicht verzellt ?
WS22	"Mi [""Me""?] mues luit lärmä, suscht verstad er eeis nid."
WS23	Mier sind mied u. hend Durscht.
WS24	Wo mer gester hei cho sind, sind alli scho im Bett gsi u. hend gschlafä.
WS25	De Schnee isch über d Nacht ligä blibä, aber hüt am Morgä isch er vergangä.
WS26	Hinder eeisem Huis stand dri schen Apfelbäumli mit rotä Äpflä.
WS27	Könned er nid nu e Aigeblick uf eeis beitä da gan mer mid eeich.
WS28	Ihr dörfed nid e so chindisch si.
WS29	Eeisi Bärg sind nid so hech, eeiwi sind hecher.
WS30	Wie mengi Wurst u wie vil Brod wend er ha ?
WS31	Ich versta eeich nid, ihr müend e chli leeiter redä.
WS32	Hand er kei Bitz weeissi Seipfä uf eeiwem Tisch g'fundä ?
WS33	Seei Brüeder will zweei neeuwi Heeiser buiwä i deeim Gartä.
WS34	Das Wort isch em vo Härzä cho.
WS35	Das isch rächt vo eeuw.
WS36	Was hokid da für Vegeli uf em Meeirli ?
WS37	D Buira hand feuf Ochsä u. neeun Chüe u zwölf Schaf vors Dorf brungä, si wend die verchaifä
WS38	De Leeit sind all dussä uf em Feld u. mäiid.
WS39	Gang nur de bruin Hand tuet der neeid.
WS40	I bi mid d Leeite da hinna über d Mattä is Chorn g'hahrä.
