---
Bogennummer: '46013'
Ort: Buochs
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.202558'
...
WS1	Jm Winter fleiigid die trochänä Bletter i dr Luft umä.
WS2	Äs hert grad uif z'schneiiä, dr na wird s'Wättr wieder bess'r.
WS3	Tuä Cholä i Ofä, das d'Milch gleii afad chochä.
WS4	Dr guot, alt Ma isch mit dem Ross dur's Eiis brochä und isch is chalt Wassr inä gheiit.
WS5	Är isch vor viär odr sächs Wuchä gschtorbä.
WS6	S'Feiir isch z'schtarch gsi, d'Kuchä sind ja unnä nachä ganz schwarz verbrennt.
WS7	Är isst d'Eiiär immer ohni Salz und Pfäffr.
WS8	D'Fiäss tiämmer weh, ich gläüibä, ich ha si durägläüifä.
WS9	Jch bi bi dr Fräüi gsi und ha nä räs gseit, na het si gseit, si wells de äüi ihrer Tochter sägä.
WS10	Jch wills äüi nimmä wiedr tuä.
WS11	Jch schl dr grad mit9m Chochlöffl um d'Ohrä umä, dui Aff.
WS12	Wo gasch hi, settid miär eppä mit diär gah.
WS13	Äs sind schlächti Zeiitä.
WS14	Meiis liäb Chind, bleiib hi unnä stah, die besä Gäns beiisid dich dod.
WS15	Dui hesch hit am meischtä glehrd und bisch ruäig gsi, dui darfsch friän'r hei gah, als die andärä.
WS16	Dui bisch nu nid gross gnuäg, um ä Fläschä Weii uis ztrinkä, dui muäsch erscht nu eppis wachsä und gress'r wärdä
WS17	Bis so guät und gang deiin'r Schwest'r ga sägä, sie sell d'Kleidr fir eiiwi Muättr fertig biätzä und mitr Birschtä suibr machä.
WS18	Hätt'schä dui kännt, dä wärs andrs cho uns äs tät bessr um ihn stah.
WS19	Wer hed meii Chorb mit Fleisch gschtolä ?
WS20	Är hed so ta, als hättid seii ihn zum Dreschä bschteld; seii hends abr sälbr ta.
WS21	Wem hedr die neii Gschicht verzählt ?
WS22	Mä muäss luit lärmä, suscht verstahd 'r eiis nid.
WS23	Miär sind miäd und hend Durscht.
WS24	Wo m'r geschtr hei cho sind, sind die andärä scho im Bett glägä und fescht im Schlaf gseii.
WS25	Dr Schnee ischt ubernacht nu glägä, abr hit am Mrgä ischr vergangä.
WS26	"Hindr eiisum Huis stand dreii scheni Epfelbäimli mit rotä Epfili [""Epfeli""?]."
WS27	Chenid iähr nu ä Aüigäblick uf eiis wartä, dr na gammr mit eiich.
WS28	Jähr derfid nid selig Chindereiiä treiibä.
WS29	Eiisi Bärg sind nid so hech, eiiwi sind viel hechr.
WS30	Wievil Pfund Wurscht und wievl Brod wend iähr ha ?
WS31	Jch verstah eiich nid, iähr miänd äs bitzli luitr redä.
WS32	Hend iähr keis bitzli weiissi Seifä fir mich uf meiim Tisch gfundä ?
WS33	Seii Briädr will fir sich zwei scheni & neii Heiisr in eii'm Gartä buiä
WS34	Das Wort isch ihm vo Härzä cho.
WS35	Das isch rächt vo ihnä gsi
WS36	Was sitzid da fir Vegili obä ufm Meiirli ?
WS37	D'buirä hend feiif Ochsä und neiin Chiäh und zwelf Schäfli vors Dorf brungä. die hend sie wellä verchaiifä.
WS38	D'Leiit sind hit all duissä uiff dr Mattä und mäiid.
WS39	Gang nur, dr bruin Hand macht diär neiid.
WS40	Jch bi mit dä Leiitä da hinnä ibr d'Mattä is Chorn gfahrä-
