---
Bogennummer: '46014'
Ort: Stans
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 38139f0c-6bea-49aa-a47e-72832999abb6
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.582999'
...
WS1	Im Winter fliigid die tiire Bletter i dr Luft ume.
WS2	Es herd etz de glii schnije, de wird s'Wätter de wider besser.
WS3	G'hii Chole i Ofe, as d'milch glii fad afe siide.
WS4	De guet alt Maa isch midum Ross ufum Iisch iighiid, und isch is chalt wasser ine gstitzt.
WS5	Er isch vor viär oder sächs Wuche gstorbe
WS6	S'Fiir isch z'gross gsi, d'Chuäche sind ja unne dure brandschwarz aabrennt.
WS7	Er isst d'Eier eister ohni Salz und Pfäffer
WS8	Miär tiänd d'Fiäss usinnig weh, ich glaibe ich has ganz wund gloffe
WS9	Ich bi bi dr Frai gsi und hanneres gseid und si hed gseid, si wells i ihrer Tochter ai säge.
WS10	Ich wills ai nimmä mache
WS11	Ich schla dr grad midum Chelle um d'Ohre ume dui Aff !
WS12	Wo gasch hi, sellemer mitter gah
WS13	Es sind schlächti Ziite
WS14	Mis liebs Chind, bliib hie unne stah, die beese Gäns bissid dich z'tod.
WS15	Dui hesch am meischte gleerd und bisch brav gsi, dui chaisch vor de-n-andere hei gah.
WS16	Dui bisch nu nid gross gnueg fir-n-e Fläsche Wii uis z'trinke, dui muesch z'ersch nu e chli wachse und gresser wärde
WS17	Gang, bis so gued, und säg idiiner Schwester, si sell s'Gwand fir iwi Muätter fertig biätze und s'de birste
WS18	Hättisch e dui kennd de wärs anders cho und de stiängs besser umsi.
WS19	Wer hed miär mi Chorb midum Fleisch g'stole ?
WS20	Er hed 
