---
Bogennummer: '46015'
Ort: Büren
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.206545'
...
WS12	Wo gahsch Dui hi, sellid mier ai cho.
WS13	Äs sind bes Zeytä
WS14	Bleyb dä hiä Chleyni, susch bickit dich d Äntä.
WS15	Dui hesch hit dr meischt glehrt und bisch äs guäts gsi, dui chaisch de friächr hei als diä andärä.
WS16	Dui bisch nu zchlei ä ganzä Fläschä Wey z'trinkä, dui muesch zerscht nu ä chley wachsä.
WS17	Bisch so guet und säg Deyner Schwestr, sie sell d Chleidli fertig biäzä und därna birstä.
WS18	Wenn Dui ihns chennt hättisch, wäres nid ä so uisä cho.
WS19	Wer het mey Fleschchorb gstohlä ?
WS20	Är hed ta, als ebä seÿ agstellt hättid, aber hends ohni ihns gmacht.
WS21	Wem hed är diä neyw Gschicht värzellt ?
WS22	Mä muäss lärmä, susch verstaht är eim nid.
WS23	Miär sind miäd und hend Durscht.
WS24	Wo miär nächti hei cho sind, so sind alli scho im Bett gsi und hend g'schlafä.
WS25	Nächti hed äs nu Schnee gha und hit ischtr värgangä.
WS26	Hind's eysem Huis stand drey scheni Beimli und hend roti Epfili.
WS27	Chentit Jhär nu äs Schutzili wartä, miär chämmid de ai.
WS28	Jhär derfid nid ä settig Dummheitä machä.
WS29	Eysi Bärg sind nid ä so hech, eywi sind hechr.
WS30	We mängi Wurscht und wefu Brot wend Jär ?
WS31	Jch verstah Eych nid, Jär miänd leyterer redä.
WS32	Hend Jär fir mich ä kei Seipfä gfundä ufem Tisch ?
WS33	Sÿ Briäder will zwei Gartäheysli buiä.
WS34	Das ischem vo Herzä cho.
WS35	Das isch schen vo Eych.
WS36	Was huirid da fir Vegili ufem Meyrli obä ?
WS37	d'Buirä hend feyf Ochsä, neyn Chiäh und zwelf Schäfli im Dorf wellä värchaifä.
WS38	Heit sind all Leyt dussä und meyed.
WS39	Gang Dui nur, dä Hund macht Diär neyd.
WS40	Jch bi mit denä Leytä is Mattli firä gangä.
