---
Bogennummer: '46017'
Ort: Gersau
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 8a7d3227-2653-49a8-af6d-40b659491494
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.372810'
...
WS1	Im Winter flügid die trochne Bletter i de Luft ume.
WS2	Es hört gli uf schnie, s'Wätter wird de wieder besser.
WS3	Tue Chole i Ofe, dass d'Milch gli wieder fat afo choche.
WS5	Er isch vor vier oder sächs Wuche gstorbe.
WS6	S'Für isch zstarch gsi, die Kueche sind jo undenoche ganz schwarz verbrännt gsi.
WS7	Er isst d'Eier immer ohne Salz und Pfäffer.
WS8	D'Füess tüen mer starch weh, i glaube, i ha si dure glufe.
WS9	I bi bi der Frau gsi und han er es gseit, und sie hed gseit, si well's au ihre Tochter säge.
WS10	I wills au nümme tue.
WS11	I schla dr jetzt de eis mit de Chelle um d'Ohre, du Aff!
WS12	Wo hi gasch du, sölemer mit dr gah.
WS13	Es sind schlächti Zite!
WS14	Mis liebs Chind, blib da unde stoh, die böse Gäns bissed di z'tod.
WS15	Du hesch hüt am meischte glehrt, und bischt brav gsi, du dörfscht hüt früher hei gah als die andere.
WS16	Du bisch nu nid gross gnueg, um e Fläsche Wi usztrinke, du muesch zerst nu wachse und grösser wärde.
WS17	Gang doch und bisch so guet und säg dinere Schwöster, si sell d'Kleider für üi Muetter fertig püetze und mit de Bürste suber mache.
WS18	Hättisch du ihn kännt, so wärs anders cho und es tät besser um ne stoh.
WS19	Wer het mer mi Chorb mit Fleisch gstohle?
WS20	Er hed e so ta, as hätt me re zum Drösche bstellt; sie händs aber selber to.
WS21	I wem heder diä nü Gschicht verzellt?
WS22	Me muess lut lärme, susch verstad er üs nid.
WS23	Mier sind müed und händ Durst.
WS24	Wo mer geschter Obig zruck cho sind, so sind di andere scho im Bett gläge und sind fescht am Schlofe gsi.
WS25	De Schnee isch die Nacht bi üs liege blibe, aber hüt Morge isch er vergange.
WS26	Hinder üsem Hus stönd drü schöni Öpfelbäumli mit rote Öpfeli.
WS27	Chönd er nid no es Augeblickli uf üs warte, de gönd mehr mitich.
WS28	Er dörfid nit e sernigi Chinderiä tribe.
WS29	Üsi Berg sind sehr höch, üi sind viel höcher.
WS30	Wieviel Pfund Wurscht und wieviel Brod wend er ha?
WS31	Ich verstah n üch nid, ihr müend es bitzli luter rede.
WS32	Hend ihr keis Stückli wissi Seipfi für mich uf mim Tisch gfunda?
WS33	Si Brüeder will zwei schöni nüii Hüser i üem Garte bue.
WS34	Das Wort isch ihm vo Härze cho.
WS35	Das isch recht gsi von ene.
WS36	Was sitzed da für Vögeli uf dem Mürli?
WS37	D'Bure händ füf Ochse, nün Chüe und zwölf Schäfli vors Dorf brunge, die hends welle verchaufe.
WS38	D'Lüt sind alli dusse uf em Fäld und mäjed.
WS39	Gang nur, de brun Hund tueder nüd.
WS40	Ich bi mid de Lüte da hinne übers Land is Chorn gfahre.
