---
Bogennummer: '46018'
Ort: Morschach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.518522'
...
WS1	Jm Winter flüget di trochne Bletter i der Luft ume.
WS2	Es hört gli uf z'schnie, dä gitz wider schön Wätter.
WS3	Tuo Cholä i Ofä, daß Milch gli süt.
WS4	Dr guet alt Ma isch mit em Roß durs Jsch appe ghit u. is chalt Wasser inne ghit.
WS5	Es isch vor vier oder sächs Wuchä gstorbä.
WS6	" Z'Führ isch schtark gsi, da [? ""dä""?] Chochä isch une nachä ganz schwarz ver bränt."
WS7	Er ißt d'Eier eißtig ohni Salz u. Pfäffer.
WS8	D'Füeßtüen mr hüntsch weh, i glaube i ha si dure glaufe.
WS9	Jch bi bi d'r Frau gsi u. ha ner es gseit, u. sie seit, si wölls au ihrem Meitli sägä.
WS10	"Jch wills au nümme [""m"" mit Verdoppelungsstrich] tue."
WS11	 Jch schla dir gli de Chochlöffel um d'Ohrä ume, du Aff.
WS12	Wohi gahsch, söllet mr mit cho.
WS13	Sind schlächt Zitä !
WS14	Du liebs Chind, blieb hie unnä stah, die bösä gänsä biße di z'tod.
WS15	Du häsch hüt dä meischt glehrt u. bisch artig gsi, du darfst früener hei as die anderä.
