---
Bogennummer: '46018'
Ort: Morschach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.518522'
...
WS16	Du bisch nu z'chli, um ä Fläschä Wi us z'trinkä, du muost z'erst nu wachse u. größer wärde.
WS17	Gah, bis so guet u. säg dr Schweschter, si sell [?] s'Chleid für Mueter fertig büetze u. mit dr Bürschtä suber machä.
WS18	"Hättest Du ihn g'kännt [Verdoppelungsstrich auf dem ""n""], da [""a""?] wärs anderisch cho u. s'tät besser um ihn sto."
WS19	Wer hät mir mi Chorb Fleisch g'stohlä ?
WS20	"Er tuet ä so, as hättets äne zum Droschä [""o""?] b'stellt; si händs aber sälber ta."
WS21	Wem hät er die nü G'schicht erzellt ?
WS22	Mä mueß lut lärme, suscht verstaht er üs nid.
WS23	Wir sind müed u. händ Durst.
WS24	Wo mir geschter am Abig hei cho sind, do sind die andere scho im Bett gsi u. händ fest gschlafe.
WS25	Dr Schnee isch dur Nacht bliebä, aber am morget isch er vergangä.
WS26	Hinder üserem Hus stönd drü schöni Öpfelbäumli mit rote Öpfle.
WS27	Chönd'r nid au en Augeblick uf üs wartä, dä chomet mr mit üch.
WS28	Jhr därfet nid e setig Chinderiä tribä.
WS29	Üsi Berg sind nid höch, üri sind viel höicher.
WS30	Wie mängs Pärli Würst müendrha u. wieviel Brod ?
WS31	Jch verstah üch nid, ihr müend e chli luter redä.
WS32	Händr keis Stückli  wißi Seipfä für miech uf mim Tisch g'fundä ?
WS33	Si Brüeder wil zwei schöni Hüder i üre Garte buä.
WS34	S'Wort isch em vo Härzä cho.
WS35	Das isch rächt vo ine gsi.
WS36	"Was sitzet da [""a"" ?] für Vögeli obä uf d'r Mure ?"
WS37	D'Burä händ füf Ochsä u. nün Chüeh u. zwölf Schäfli vors Dorf brungä, sie händs wellä verchaufä.
WS38	D'Lüt sind hüt all uf em Fäld ußä u. mähet.
WS39	Gang nur, d'r brun Hund macht dir nüd.
WS40	J bi mit dr Lüte da hinde idr Wisä is Chorn g'fahrä.
