---
Bogennummer: '46043'
Ort: Engelberg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.747189'
...
WS1	Im Wintär fluigid diä dürrä Bletter i dr Luft umä.
WS2	Äs hört gle=i wiedär öif schne=iä, drna besserät äs de wiedeät mit äm Wättär.
WS3	Tüä Holz nachä, dass d'Milch gle=i suidt.
WS4	Dä güät alt Ma ischt mit äm Ross ubär d'E=ischä g'fahrä & [?] i=gheid, i das chalt Wassär.
WS5	Vor viär odär sächs Wuchä ischt är g'storbä.
WS6	Diä Chräpfli hend z'heiss g'ha, se=i sind ja unnä brandschwarz vebröönd.
WS7	Är isst d'Eiär eister ohne Salz & Pfäffär.
WS8	Diä Fiäss tiänd miär weh, ich glaubä=n=ich ha Blattärä,
WS9	Ich bi bi der Frau gse=i & hanär=äs g'seid, & se=i hed g'seid, se=i wells de au ihräm Meitli sägä.
WS10	Ich will's nümmä machä.
WS11	Ich gib dr eis mid äm Chellä=n=ubärä Grind, döi Aff!
WS12	Wo gahscht döi hi, söllä miär mit dr cho ?
WS13	Äs sind schlächti Ze=itä !
WS14	Annäli ble=ib da unnä stah, süst be=issid dich diä bösä Gäns z'tod.
WS15	Döi hescht hüt am meischtä g'lert & bischt brav gse=i, drum cheischtdöi friähnär hei as diä andärä.
WS16	Döi bischt nu z'chle=inä für nä ganzi Fläschä We=i z'trinkä, z'erst müäscht nu ä chle=i wachsä & grössär wärdä.
WS17	Gang, bis=sä=güät & säg de=inär Schwestär, se=i söll 's G'wand für u=i Müättär fertig biäzä & söibär bürschtä.
WS18	Hättischt=ä=döi g'chännt, de wär äs andärs cho & äs stiähnd besser mid äm.
WS19	Wer hed miär me=i Chorb mit äm Fleisch g'stohlä?
WS20	""" Är hed dergle=ichä ta, se=i heigenä zum Tresche la cho, derbiä hend se=i's abär sälbär g'macht. """
WS21	Wem hed är diä Nuigkeit erzellt ?
WS22	Mä müäss löit briälä, süst verstahd är eim nid.
WS23	Miär sind miäd & hend Durscht.
WS24	Wo miär nächti hei cho sind, sind diä andärä scho im Bett g'lägä & hend steihert g'schlafä.
