---
Bogennummer: '46044'
Ort: Engelberg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.756467'
...
WS1	Jm Winter fluigi die trochene Blätter i där Luft umä
WS7	Är ißt d'Eier eistär ohne Salz und Pfäffer.
WS10	"J wills nu nümmä [""m"" mit Verdoppelungsstrich] duo !"
WS13	Äs sind schlächt Zeiten !
WS22	Mä muos lout brielä, süst verstad är uis nuid.
WS23	Mär sind miüd und heud Durst.
WS24	Als mier gester Abend zrugg cho sind, sind diä andärä scho im Bett g'seni und händ steihert g'schlafä
WS25	Där Schnee ist diä ganz Nacht liggä blibä [b'libä?]  abär hütt am Morge ist är g'schmulzä
WS26	Hindär uisäm Hous stand dreei schön Öpfelbäum mit rotä Öpflä
WS28	Jhr dörfid nid ä sötig Dumheiten treeibä
WS29	Üisi Bärg sind nid g'rag höch, die uiäräsind viel hochär.
WS30	Wieviel Pfund Würst  und wie viel Brod wend ihr ha.
WS31	Jch värsta euch nid, ihr müend luitärär redä.
WS34	Das Wort chund äm vo Häzä
WS36	Was sitzid da für Vögali obä ufäm Muirli ?
WS37	Die Buorä hend fuif Ochsen und nuin Kiee und zwelf Schäfli vor's Dorf bracht, sie heigäs wellä verkaufä
WS38	D'Luit sind hütt all dußä uf där Mattä und meiid
WS40	Jch bi mit dä Luitä da hinnä übär d'Mattä is Korn g'fahrä.
