---
Bogennummer: '46059'
Ort: Fanas
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.985597'
...
WS14	"Mis liäbs Chind, blib da jähunnä [Verdoppelungsstrich auf ""n*] stah, diä böschä Gens bißänti tot."
WS15	Du hescht hüt am meistä g'lärnät u. bischt g'schikt g'si, du darfst drum früejär hei ga, as di andärä.
WS16	Du bischt no nid groß g'nuäg, ä Fläschä Wi us z'trinkä, du muäscht zerst noch ä biz waxä u. größer wärdä [oder wärde]
WS17	"Gang, si so guät u. säg dir Schweschtär, schi söll ds'Häs für üäri Mammä [Verdoppelung auf ""m""] fertig büezä u. därna subär bürschtä."
WS18	"Wenn 'dnä g'kennt [Verdoppelungsstrich auf ""n""] hettischt, de wer s andärischt cho, u. äs schtöndi jez besser umnä."
WS19	Wär hedmär mi Chorb mit däm Fleisch g'schtollä ? -
WS20	¨¨Ar hedä so ta, als hettänschnä zum Tröschä b'stellt, schi hend's aber sälber g'machät.
WS21	Wem hed'r die nü G'schicht ärzellt ?
WS22	Mä muäß lut rüefä, sus veschteid er üs nid.
WS23	Mär sind müed u. hend Durst.
WS24	Wo mär nächti z'rugg cho sind, tuä sind diä andärä scho im Bett g'lägä u. hend g'schlafä.
WS25	Där Schnee heds die letscht Nacht bi üs g'leit kha, aber hüt am Morged ischt är g'schmolzä.
WS26	"Hinder üsäräm Hus stand dri hübsch Öpfelbömm [Verdoppelungsstrich auf ""m""] mit rotnä Öpfäl."
WS27	Chönd iär nid noch äs Wili uf üs wartä, de gamär au mid ni.
WS28	Iär törfänd nid derä Gofäriä tribä.
WS29	Üsär Bärgä sind nid grad uheimli höch, üär sind vil höchär.
WS30	Wieväl Pfund Würscht u. wieväl Brot wend'är ha ?
WS31	J värschtani nid, är müäsänd äs bitschi lütär redä.
WS32	Hendär kei Stükli wißi Seufä für mi uf mim Tisch g'fundä ?
WS33	Schi Brüedär will zwei hübschi nüi Hüsär in üäräm Gartä buä.
WS34	Das Wort ischt nmä vo Härzä cho - .
WS35	Das ischt rächt gsi vanä [?].
WS36	Was hockänd da für Vögäli uf dem Mürli dobnä ?
WS37	Di Purä hend füf Oxä u. nü Chüä u. zwölf Schäfli vor ds'Dorf g'fergät, u. hend schi wellä värchaufä !
WS38	D'Lüt sind hüt alli dusnä uf äm Fäld u. mejänd.
WS39	Gang nu, där bru Hund tuet där nüd. -
WS40	"I bin mit dä Lüt da hinnä [Verdoppelungsstrich auf ""n""] über d'Wis ins Chorä g'fahrä."
