---
Bogennummer: '46106'
Ort: Matten
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.244756'
...
WS2	Äs höert bald uf schnie, de wu ͦ̈ rd de ds Wätter umhi besser.
WS3	Tue Cholėn-i-n-Ofe, dass d' Milch bald ofïet choche.
WS4	Dr guet alt Mo ïscht mït em Ross ïm Isch ibroche ůn ï ds chalt Wasser kit.
WS5	Är ïscht fůr vier oder säx Wůche gstorbe.
WS6	Ds Für ïscht z' starchs gsi, d' Chueche si ja ůna gonz schwarz verbrennt.
WS7	Är ïsst d' Eier gïng oni Salz ů  Pfäffer.
WS8	D' Füess tüe mer grüselïch wïe, ï glůbe, ï hïgi (si) du ͦ̈ rglu ͦ̈ ffe.
WS9	I bï bï der Frow gsi ů  ho 'ras 's gsï̄t, ů  sie het gsï̄t [beide Male 'i' mit Trema und Querstrich darüber], si weli 's  ïrů  Mitschi och säge
WS10	I wïlls net mïe (umhi) tue (moche).
WS11	I schlo der jïtz de (glich ïnischt) ds Chochcheli um d' Oere, dů  Aff.
WS12	Wo woscht hï̄ [i mit Trema und Querstrich darüber], sele wier mït der choe ?
WS13	Äs si schlächt Ziti.
WS14	Mis liebs Chïnd, blib hie ůna (stoh) die böese Gens bisse dich z' toed.
