---
Bogennummer: '46107'
Ort: Matten
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.240143'
...
WS1	Im Winter flüge die trochene Blätter in der Luft umha.
WS2	Es hört grad uf z' schnije, de würd de ds' Wätter umhi bässer.
WS3	Tue Chole in Ofe, dass d' Milch bald chömi.
WS4	"Dr guet alt Ma escht [oder eventuell ""ischt""? es gibt einen ganz dünnen i-Punkt]  mit em Ross dür ds Isch ahi broche un ids chalt Wasser kit"
WS5	Är ischt vor vier oder sägs Wuche gschtorbe.
WS6	Ds Für isch z' schtarchs gsi, di Chueche si ja una uf ganz schwarz verbrännt
WS7	Är isst d' Eier geng oni Salz u Pfäffer
WS8	d' Füess tüe mer schuderhaft weh, i glaube, i heigi si dür glüffe.
WS9	"I bé [oder ""bi""?] bi n der Frau gsi u ha ras gseit u si het gseit, si het gseit, si wällis och ihra Tächter säge"
WS10	I wells o nie meh weder mache.
WS11	I geben dr jetz de met dem Chochchelli uf d' Ohre, du Aff.
WS12	Wa geihst du hi, sölle wer met der ga ?
WS13	Äs si bösi Zite.
WS14	Mis liebs Chind blib hie unna stah, süscht bisse dich de di böse Gäns z tot.
WS15	Du häscht hüt am meischte glehrt u bescht schilla gsi, du darfscht ender heim ga wan di andere.
WS16	Du bescht no net grossa gnueg fer ne Fläsche Wy usztrehe, du muescht z erscht no wagse u n e bez gröser wärde.
WS17	Sig so guet u gang säg dr Schwäschter, si sölli d' Chleider fer d' Mueter färtig neije un mit der Bürschte putze
WS18	Hättischt du ne bchennt, de weris andersch cho u äs weri bässer gsi fürne.
WS19	Wär hät mer mi Chorb met dem Fleisch gschole ?
WS20	"Är här der glihe ta, as hätte si ne fer ds ""Miste"" bschellt; si heises du aber sälber gmacht."
WS21	Wäm het er di nüwi Gschicht erzällt ? -
WS22	Mu muess lut brüele, süscht verschteit är nus net.
WS23	Wer si müedi u hei Durscht
WS24	Wa wer geschter am Abe si z rugg cho, da si di andere scho im Bätt gläge u si fescht am schlafe gsi.
WS25	Der Schnee hät's desi Nacht net möge nä, aber hüt am Morge escht är gschmolze.
WS26	Hinder ünsem Hus schta drüi schön Öpfelbäum met rote Öpfelene.
WS27	"Chönnt der net noch es Augenblickli uf nus [oder ""uns""?] warte, de ga er de met nuch."
WS28	Ir dörft net söttigi Spitzbueberije tribe.
WS29	Unser Bärga si net grüselich höj, eu w er [zwischen 'u' und 'e' ist oben 'w' eingefügt]  si vel höher.
WS30	Wie mängs Pfund Wurscht u wi viel Brot went er ?
