---
Bogennummer: '46114'
Ort: Grund bei Gstaad
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.563316'
...
WS1	Im Winter flüige di trochene Blätter in der Luft umha.
WS2	Es hört bald uf schyie; de wuͦ̈rd [über 'u' steht 'ö'] ds Wätter wieder besser.
WS3	Tue Chohle in Ofe, dass d' Milch bald afat choche.
WS4	"Där gu ͤ t [zwischen 'u' und 't' steht darüber 'e': ""guet""] alt Maa isch mit dem Ross dür ds Ysch ahi broche u-n-e ds chalt Wasser g(k)hyt."
WS5	Är isch vor vier oder säx Wuche g' storbe.
WS6	Ds Für isch z' starch gsi; d' Chueche si ja unna ganz verbrännt.
WS7	Är iͤsst d' Eier giͤng [zweimal: über 'i' steht 'e'] ohni Salz u Pfäffer
WS8	D' Füess tüe mer grüseli weh; i gloube, i ha si dürglüffe
WS9	I biͤ [über 'i' steht 'e'] be der Frou gsi u ha-r-as gseit, u sie hät gseit, si wälli-s-es iͤhrer [über 'i' steht 'e'] Tächter o säge.
WS10	I wiͤll [über 'i' steht 'e'] ses o net meh wieder mache !
WS11	Jetz schla-n-i der de miͤt [über 'i' steht 'e'] der Chochchelle uf d' Ohre, du Aff !
WS12	Wa geischt du hin, sölle wiͤr [über 'i' steht 'e'] mit der cho ?
WS13	Es si schlächti Zyte !
WS14	Mys liebs Chind, blib hie unna stah, suͦ̈scht [über 'u' steht 'ö'] bysse dich die böse Gäns z' tot !
WS15	Du häsch hüt am meischte gleert u bisch gäbig gsi; du tarfscht ender heim als die andere.
WS16	Du bisch no niͤt [über 'i' steht 'e'] grossa gnueg, für ne Fläsche Wy ustriͤhe [über 'i' steht 'e']; du muesch no es bitzi waxe u gröser ['ö' ist unterstrichen] wärde.
WS17	Gang, syg so guet u säg dir Schweschter, si sölli d' Chleider fuͦ̈r [über 'u' steht 'ö'] öwi Mutter fertig neje u miͤt [über 'i' steht 'e'] der Bürschte sufer mache.
WS18	Hättisch due ne bchennt ! de weris andersch cho, u-n-es stuendi besser mit mu.
WS19	Wär hät mer mi Chorb miͤt [über 'i' steht 'e'] Fleisch gstole ?
WS20	Är hät ta, als hätte sie ne zum Drösche bstellt; si hei 's aber sälber g' macht.
WS21	Wäm här er di nüwi Gschicht erzellt ?
WS22	Mu muess lut brüele, suͦ̈sch [über 'u' steht 'ö'] versteit er n-us niͤt [über 'i' steht 'e'].
WS23	Wir sy müed u hei Durscht.
WS24	Wa wer geschter am Abe si z' rugg cho, da sy di andere scho im Bett gläge u hei fescht gschlafe.
WS25	"Der Schnee isch diesi Nacht bi-n-üns bliͤbe [über 'i' steht 'e'] liege, aber hüt am Morgeⁿ ischt [über 'e' steht 'n'; ""Morge-n-ischt""?] er gschmolze."
WS26	Hinder ünsem Hus stah drüi schöni Öpfelbäumleni mit rote Öpfelene.
WS27	Chönnt [Verdoppelungsstrich auf 'n'] er niͤt [über 'i' steht 'e'] no n-es Ougeblickli uf n-us warte, de gah wer miͤt [über 'i' steht 'e'] nuch.
WS28	Ir törft niͤt [über 'i' steht 'e'] söttigi Chinderie tribe.
WS29	Ünser Bärga sy niͤt söviͤl [zweimal: über 'i' steht 'e'] höi, uͦ̈wer [über 'u' steht 'ö'] sy viͤel [über 'i' steht 'e' - und das zusätzliche 'e'?] höjer.
WS30	Wie mengs Pfund Wurscht u wie viͤel [über 'i' steht 'e' - und das zusäzliche 'e'?] Brot weit er ha ?
WS31	I verstah nuch niͤt [über 'i' steht 'e'], ier müesst es bitzi luterer rede.
WS32	Heit er kes Stücki wyssi Seife für miech uf mim Tisch gfunde ?
WS33	Sina Brueder wott sich zwöi schöni nüwi Hüser in öwem Garte buwe.
WS34	Das Wort isch ihm vo Härze cho !
