---
Bogennummer: '46230'
Ort: Kuens
Sprache: Deutsch
Bogentyp: STir
Erhebung: 'Südtiroler Erhebung, vermutlich 1941 (vgl. Rabanus 2020: 215; Fleischer
  2017: 127)'
Transliterationsprojekt: Transliteration Südtiroler Wenkerbögen (Rabanus, Alber, Dal
  Negro)
Transliterent: Emily Siviero
Anmerkungen: Unsicherheiten in eckigen Klammern markiert
Erstelldatum: '2022-09-19 14:32:13.395945'
...
WS01	In Wintor fliegn die trucknen Laper in der Luft umer.
WS02	S‘ heart gschwind au zi schneibn, noar weart s‘ Wetter wieder besser.
WS03	Tue Kouln in Oufn innin, daß die Milch bold unfong zi kochn.
WS04	Ter guete olte Monn isch mitn Roß ban Eis ingebrochn und nocher in koltn Wosser innin gfolln. 
WS05	Er isch vour vier oder seggs Wochn gstorbn.
WS06	S Fuir isch zi stork gwesn, die Turtn sein joa untan gonz schworz verbrennt.
WS07	Er ißt die Oar olm une Solz und Pfeffer.
WS08	Ti Fieß tien mer fest wea, i muan i hon miar si turchgrennt.
WS09	I bin ban ir gwesn und hons ir gsogg und sie hott gsogg sie wearts a iren Madl sogn.
WS10	I wills a niamer tian.
WS11	I schloog ter gschwind mitn Kochlöffl umer di Oarn, tu Off.
WS12	Wou geaschen hin, sollmer mit tir gien.
WS13	Es sein schlechte Zeitn.
WS14	Mein liebs Kint, bleib to untn stian, te znichtn Gäns beißn di bisse hin bisch.
WS15	Tu hosch heint in moarigstn glearnt und bisch fein gwesn, selle weign terfsch tu früer huam gian as ti ondern. 
WS16	Tu bisch nou nit groaß gnua, tasse +
WS17	Gea sei so guet und soog teiner Schwester si soll di Gwanter fer enkerer Mueter fertig nahnen und mit ter Bürst sauber mochn.
WS18	Wenn dudn gekennt hasch nocher wars onderscht kemen und es stand besser.
WS19	Wer hobbmer mein Korb mitn Fleisch gstouln.
WS20	Er hot a sou getun, aswen sidn zin dreschn bstellt hattn, sie hobns ober selber getun.
WS21	Wen hotter die nuie Gschicht terzöilt.
WS22	Man mues laut schreidn, sischt versteatrins nit.
WS23	Mier sein müet und hobm Durst.
WS24	Wemer gester znochz zrugg kemen sein, sein di ondern olle schun schlofn gwesn.
WS25	Te Nocht isch ter Schnea ba ins liegn gebliebn, ober zmorgez ischer olla dergongen.
WS26	Hinter insern Haus stian drei schiane Epflbameler mir roate Epfeler.
WS27	Kentis nit nou an Augnblick af ins wortn, nocher giamer mit enk.
WS28	Es terfft nit selle Kindereidn treibn.
WS29	Insere Berg sein nit goresou hoach, enkrige sein viel heacher.
WS30	Wievl Pfund Wurst und wievl Broat welltis hobn.
WS31	I verstea enk nit, es miet a bisl lauter reidn.
WS32	Hoppes kuan brekl weiße Soaf fe mier af mein Tisch gfuntn.
WS33	Sein Bruader willn zwoa schiane nue Heiser in enkern Gortn bauen.
WS34	Tes Wort ischn van Herz kemen.
WS35	Tes isch recht gwesn van enk.
WS36	Woos sitzn do füre Vögele oubm afn den Mairl.
WS37	Ti Baurn hobm fünf Oggs und nein Küe und zwölf Schafler vourn Dorf gebrocht, te hobm se gwöllt verkafn.
WS38	Ti Leit sein heint olle af ter Wies terfourn und tian mahnen.
WS39	Gea lei ter braune Hund tueter nicht.
WS40	I bin mit ti Leit to hintn über der Wies in Kourn inin gforn.
