---
Bogennummer: '46233'
Ort: Schenna Berg
Sprache: Deutsch
Bogentyp: STir
Erhebung: 'Südtiroler Erhebung, vermutlich 1941 (vgl. Rabanus 2020: 215; Fleischer
  2017: 127)'
Transliterationsprojekt: Transliteration Südtiroler Wenkerbögen (Rabanus, Alber, Dal
  Negro)
Transliterent: Emily Siviero
Anmerkungen: Unsicherheiten in eckigen Klammern markiert
Erstelldatum: '2022-09-19 14:32:13.395945'
...
WS01	In Winter fliegn in der Luft die trucknin Laber ummer.
WS02	Iaz hoarts gschwind au zu schneibn, noar werds Wetter besser.
WS03	Tua Kohln in Ofn innin, as die Milch unhebt zi siadn.
WS04	Der guate alte Mou ist mitn Roß in Eis ingebrochn und ins kolte Wosser gfolln.
WS05	Er ist vor a vier oder segs Wochn gstorbn.
WS06	S fuiar war zu groaß, die Turtn sein untnau olle verbrennt.
WS07	Er ißt die Oara uhna Solz und uhnin Pfeffer.
WS08	Miar tian [unleselich, sorl] die füaß weah, i muan i hons offa. 
WS09	I bin ba der frau gwesn und hons ihr gsogt, und sie hot gsogt, sie weards a ihrer tochter sogn.
WS10	I wills niamer tian.
WS11	I hau dir n Kochlöffel ummer die Ohren, du Off!
WS12	Wo geahst du hin, solln miar a gian.
WS13	Es sein schlechte Zeitn.
WS14	Mein lieabs Kind bleib do unten stian, di bösn Gäns beißen die toat.
WS15	Du host heut in bestn glernt und bist brav gwesn, du koust heut früher huamgian.
WS16	Du bist noa viel zu kluan [_ _ _ _]
WS17	Sei so guat und sog der Schwester, sie soll die Gwanter mochn für enkerer Muater, und mitn Bürster sauber mochn. 
WS18	Hast du ihn gekennt, wars onderst kemmen und es tat besser stian, um ihn.
WS19	Wer hot mer mein Korb gstohln, mitn Fleisch?
WS20	Er hot getun, swie wenn siedn zin dreschn ungstellt hatn, derweil hobn sies selber getun. 
WS21	Wen hotr denn die neue Gschicht derzöhlt?
WS22	Man muaß laut schreien, sist versteaht er ins nit.
WS23	Miar sein müad und hobn durscht.
WS24	Weu miar gester znochts zürug kemmen sein, hobn die ondern schun gschlofn.
WS25	Der Schnee ist über Nocht liegn gebliebn, ober zmorgets ist er dergongen.
WS26	Hinter insern Haus stien drei schiane Äpflbam, mit roate Äpfl.
WS27	Köut tis nit noau an Augnblick wortn noar gian miar mit enk.
WS28	Ös törft nit sölle Dumheitn treibn.
WS29	Insere Berg sein nit a so hoach, enkrige sein viel höacher.
WS30	Wieviel wölltis denn Broat und Wurst hobn?
WS31	I versteah enk nit, ös miet a bißl lauter rödn.
WS32	Hobbis af mein Tisch kuan Bröckl weiße Soafte gfundn?
WS33	Sein Bruader willn in enkern Gortn zwoa schiane Häuser bauen.
WS34	Dös Wort kam ihm va Herzn.
WS35	Dös war recht von enk!
WS36	Wos huckn den af der Maur obn füra Vögeler?
WS37	Die Baurn hobn fünf Ogsn und neun Küah und zwölf Schafler vor das Dorf gebracht, de wölln se verkafn.
WS38	Die Leut sein heut olle dervoura afn Feld und mahnen.
WS39	Geah lei, der braune Hunt tuat dier nicht.
WS40	I bin mit de Leut do hintn über die Wiese in Korn innin gfohrn.
