---
Bogennummer: '46271'
Ort: Kastelbell
Sprache: Deutsch
Bogentyp: STir
Erhebung: 'Südtiroler Erhebung, vermutlich 1941 (vgl. Rabanus 2020: 215; Fleischer
  2017: 127)'
Transliterationsprojekt: Transliteration Südtiroler Wenkerbögen (Rabanus, Alber, Dal
  Negro)
Transliterent: Jonathan Corato, Birgit Alber
Anmerkungen: nan
Erstelldatum: '2022-09-19 14:32:13.395945'
...
WS01	In Wintr fliagn die truknan Laper in der Luft ummer. 
WS02	Jatz hearts auf schneim, nor wearts Wetr wiader besser. 
WS03	Tua Kohln in Ofn, ass dia Milch bol zu siadn onfong. 
WS04	Dr guate olte Mon isch mitn Roß durchs Eis brochen und isch in koltn Wasser gfolln. 
WS05	Er isch vor vier oder segs Wochn gstorbn. 
WS06	S’fuier isch za stork gwesn, der Turtn ist untnauf verbrennt. 
WS07	Ir ißt die Oar ohn ohne Solz u.Pfeffer. 
WS08	Die fias tian mir fest wea, i moan i hon si durchgrennt. 
WS09	I bin ba der frau gwesn und hons ihr gsog, und sie sog, sie wills irer Tochtr a sogn. 
WS10	I wills a nimmer tian. 
WS11	I schlog dr in Kochlöfl za die Oarn, du Off! 
WS12	Wo geasch hin, sollmer mit gian? 
WS13	Es sein schlechte Zeitn. 
WS14	Mei liabs Kind, bleib untn stian, die gäns beißn die z’toat. 
WS15	Du osch haint am maischtn glearnt und bisch brav gweßn, du terfsch frier Hoam gian. 
WS16	Du bisch no nöt groaß gnua 
WS17	Gea sog za dr Schwöster sie soll Muuattersgwont ferti mochn und sauber birstn. 
WS18	Wenn dun kennt hasch, norr wars onderseht kemmen und s’gang ihm bösser. 
WS19	Wer hot mir mein Korb mit fleisch gschtoln? 
WS20	Er ot ton, wia wenn san zan Dreschn bschtellt hattn sie hobms ober selba geton. 
WS21	Wem oter die nuie Gschicht derzölt? 
WS22	Ma muaß laut schrein sunst versteahtr nicht. 
WS23	Miar sein müad und hobm Durscht. 
WS24	Wenn mar gestar Z’nocht zrugg kemman sein, sein die andern schuan glegn. 
WS25	Dr Schnea ischt däi Nocht liegn gebliebm ober haint in der früa 
WS26	Hinter insern Haus stian drei schiane Äpflbamlan. 
WS27	Kennts nöt a bisl wortn, nor gian mer mit enk. 
WS28	Ös terft nöt sölla Kinderaien treibm. 
WS29	Insere Berg sein nöt gor aso hoach, die enkern sein heacher. 
WS30	Wiaviel Pfund Wurscht und wiaviel Broat wöllts hom? 
WS31	I verstea enk nöt, ös miaßt a bisl lauter rödn. 
WS32	Hobs koa stickl weiße Soaft für mi af mein Tisch gfuntn. 
WS33	Sein Bruader will ihm schiane nuie Haiser in enkern Gortn baum. 
WS34	Dös Wort ischn vo Herzn koman. 
WS35	Dösch recht gwesn von enk. 
WS36	Wos sitzn do für Vögelen afn Maierle om? 
WS37	Die Baurn hom finf Ogsn und nein Küa und zwölf Schaflan vors Dorf brocht, dö hom sie gwöllt verkafn. 
WS38	Die Leit sein heint olle afn feld und mahnan. 
WS39	Gea bei dr braune Hund tuat dr nigs. 
WS40	I bin mit die Leit do hintn über der Wies in Korn inni gforn. 
