---
Bogennummer: '46308'
Ort: Bozen-Gries
Sprache: Deutsch
Bogentyp: STir
Erhebung: 'Südtiroler Erhebung, vermutlich 1941 (vgl. Rabanus 2020: 215; Fleischer
  2017: 127)'
Transliterationsprojekt: Transliteration Südtiroler Wenkerbögen (Rabanus, Alber, Dal
  Negro)
Transliterent: Silvia Amistadi
Anmerkungen: 'Bogen unvollständig und vielleicht nicht verlässlich: Zweiter Bogen
  zu Gries vorhanden (46372), in Kurrent! '
Erstelldatum: '2022-09-19 14:32:13.395945'
...
WS01	Im Winter fliachen die truknen Blattln in der Luft dumadum 
WS02	Es hert glei au zu schneibm, nor wert as Wetter wieder besser 
WS03	Tua Kohlen in Ofen, daß die Milch bald unfangt zu kochen 
WS04	Der guate alte Mensch ist mitm Roß in Eis durchgebrochen und in kalten Wasser gfallen. 
WS05	Vor 4 oder 6 Wochen is er storbn 
WS06	As Fuir is zu stark gweden die Turte san ungebrennt 
WS07	Er ißt die Oar alm ohne Salz und Pfeffer 
WS08	 
WS09	I bin bei der Frau gweden und hans ihr gsagt, und sie hat gesagt sie warts schon ihrer Tochter sagen 
WS10	I wills a nimmer tian 
WS11	 
WS12	Wo geast hin, sollen wir mitgean? 
WS13	Es sind letze Zeiten 
WS14	Mei liabs Kind bleib unten stean, die znichten Gäns beißen dich toat 
WS15	Du hast am meisten glernt und bist brav gweden, deswegen derfst früher hoamgean wie die oan. 
WS16	Du bist no nett groaßgenua a Flasch Wein zetrinken, du moast no a Wean wachsen und gresser wern. 
WS17	 
WS18	Wenn dudn gekennt häst nor wars sonders kemmen und es tat besser mit ihm stean. 
WS19	Wer hat mir den Zecker mitm Fleisch aweck? 
WS20	Er tuat a so, als ob man ihn zum Dreschen bstellt hät, derweil habens selba getuan. 
WS21	Wen hat er die nuie Gschicht erzählt? 
WS22	Man muaß laut schreien sunst versteat er uns nett. 
WS23	Mir san mieat und haben Durst 
WS24	Wia mir gestern auf d‘ Nacht heamkemmen sein, san sie im Bett glegen und haben gschlafen. 
WS25	Der Schnee ist d’Nacht liegen geblieben, aber heute zḿorget isr schmolzen (m im WB mit Gravis!) 
WS26	Hinter insern Haus stean 3 scheane Äpfelbamelen mit roaten Äpfelen 
WS27	Könnt’s es nett no a Weilele warten, nor geam mir mit enk 
WS28	Ös terfts nett sette Kindereien treiben 
WS29	Insere Berg sind nett recht  hoach, die enkern san vie höcher. 
WS30	Wieviel Kilo Wurst und Wieviel Brot wöllts ös haben? 
WS31	I verstea enk nett, ös muasts a bisl lauter reden. 
WS32	Habs ös koan Stück weißes Soaft für mir auf mein Tisch gfunden? 
WS33	Sein Bruader will zwoa scheane nuie Häuser in enkern Garten bauen 
WS34	Das Wort ist ihm vom Herzen kemmen 
WS35	Das war recht von enk 
WS36	Was sitzen do für Vögelen oben aufn Mäuerle? 
WS37	Die Bauern haben 5 Ochsen und 9 Kuah und 12 Schaflen vorn Dorf gebracht und haben sie gwöllt verkafen. 
WS38	Die Leut sein alle heut aufn Feld draußen und mahnen 
WS39	Gea lei, der braune Hund tuat dir nichts. 
WS40	I bin mit den Leuten hinten über der Weis ins Korn gfahren 
