---
Bogennummer: '46591'
Ort: Norstedt
Gid: 114637
Transliterationsprojekt: 
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
Transliterent: Kristian Ringgaard
...
WS1	I Winter fluh' die tur Blad i Luft umwe.
WS2	De holler baljd op me schnien, da wer ä Weer bäer igjhen.
WS3	Faa Koll i Kachelauen der er Mjilk baljd wer i kagen.
WS4	Den guur gammel Man'd bröt mer Oeg gjimmel Jis a her fullen i de kolt Wan'd.
WS5	Han er döer vor veer eller seis Ucher.
WS6	A Jil war atta warm, die Kage er worden übber heelt solt bräänt.
WS7	Han erder ä Eeg altiens uten Solt a Pibber.
WS8	A Fötter die gjör mer graut weh, er tror, er her em igjimmel loppen.
WS9	Er her wet we e Koon a har sauen hinet, a hun sau, hun will seet sin Datter ighjen.
WS10	Er wil a int gjöret bet.
WS11	Er schläe dä glik me er Matscheer um er Öhrner, dit Ap.
WS12	Wo geher du hen, sche' wie ga me de.
WS13	De er nu en ring Tie.
WS14	Min guur Barn, blu' här ünne stahn, die gal Gjies bit' dä äes' ighjel.
WS15	Du her idau leert am meest a haer wet goor, du kat gaa förer di anjer hjiem.
WS16	Du est ä non ik stoor nok, a drikke en Buddel Wiin uer, du skat ä non gro en Äen bet the du werst störrer.
WS17	Gaer, a wer so guur a seier din Süster, hun skul soi ä Kläer for hin Mem klar, a flei em reen me en Büst.
WS18	Har du kjennt ham! Da har er kommen eiers, da har ä stanjen bäer um han.
WS19	Wem her schull'n min Korre mer Mar.
WS20	"Han gjört som wenn die har bestjellt ham tee teerschen	 am die har schil er gjör er."
WS21	Wem har han vertoolte den neu Geschichte?
WS22	An sklal prahl höit, ääs' verstähe han us ik.
WS23	Vi er träät a har Türst.
WS24	Som wi giaer J'auts kom hjim, da looer di Anjer aat a Seng a sauer fast.
WS25	Ä Schnieer den her i Nat bleven liggen, am um Morner saa war en abthöiet.
WS26	J barg wort Huus stäh'e trier daal Jääpbelboom, me röh Jääpbel.
WS27	Kun irm nun ik thöe et Aublik, so gaa wi me jhirm.
WS28	Jrm man ik dru et som ä Björnkram.
WS29	Wor Bjerrer er ik müer höet, am jhirms die er müül höier.
WS30	Wo mange Puun'd Jsterbajen a wo müür Brü'er will irm har.
WS31	Er verstahe irm ik i mu' er schnak wad höier.
WS32	Hai irm ik hitt en Stück wiit Sieb a mit Boer liggen?
WS33	Sin Broer will büg sick too nü Huus i irm Gaar.
WS34	De Oa kam̅ ham fra Hjart.
WS35	De war rett au ham.
WS36	Wa sitter där for Faul u nen a er Muur.
WS37	A Bünj'er har 5 Stut a 9 Küe a 12 Faaer föort uten for a Böi, dem will di zähl.
WS38	A Völk ere i dau oll ut at Mark a hōch.
WS39	Gah du kunn, den bruun Huun'd gjör der int.
WS40	Er har aarg me mit Volk um i baag'r Eeng hen i Koorn? Kuurn.
