---
Bogennummer: 46594
Ort: Sollwitt
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Kathrin Wollenschläger
Anmerkungen: ''
...
WS01	Om Winter flüer die tör Blar i Loft herum.
WS02	Der Snien holder bald op, da ver der Veer beer.
WS03	Faaer Kahl i Auwn, at e Milk bald ver i Kaagen.
WS04	Der gue gammel Mand her braat ihjemmel e Js ad follen i der kold Vand.
WS05	Han Döer for feier etter ſeis Uker.
WS06	Jld var for varm e Kager vur ünner hielt ſurt brennt.
WS07	Han äder e Egg oltid uden Soldt og Peper.
WS08	E fetter gjör med veh, e troer e her dem ihjemmel lauben.
WS09	E her vet vee Kuhn og her ſov ner hin, og hun ſov, hun vil au ſeiner hin Datter.
WS10	E vil au ik gjör der bett.
WS11	E fleer de med Kaagſkäe om e Örner, dit Ab.
WS12	Hvor gaaer du hen, ſkull vi gaae med de?
WS13	Der er en ring Tid.
WS14	Mit liev Barn bliev her unne ſtahn, di ſlimm Jes bit de Döe.
WS15	Du her i Daav lert mirſt ad her vedt god du mat gahn for die anner Hjem.
WS16	Du eſt entnu ick ſtor nok til at drick en Boteel Vün ut, du mot entnu förſt Vep en End a vur ſtör.
WS17	Werſan god og Gan at ſag din Söster, hun ſkal ſye Jhrem Möers Kleer og gjör dem reen med en Börſt.
WS18	Har kjent ham, da har der kommen anderlich, a har ſtahn beer om ham.
WS19	 Ven har tauen med min Karre mit Kjör.
WS20	 Han gjort ſom ven die har beſtellt ham te tresken die har ſkjiel gjört deer.
WS21	 Ven her han fortallt den ny Hiſtorin.
WS22	 Jm mot praal höit ellers forſtaaes hand det ick.
WS23	 Vi er tret og have Törſt.
WS24	 Son vi i gaaraften kom tilbag, lau die ander i Seng og ſau faſt.
WS25	 Den Snie her bleven leggen i Natt men i Morden her den ſmolten.
WS26	 J bag vort Huus ſteer trie Apelbahm mit rühe Apeler.
WS27	 Kun ihm ik bie et Oeblick etter vos de gaaer vie mit ihrem.
WS28	 Jhm mot ik ottens hat Börens ſtreger for.
WS29	 Woer Bjerre er ik ſaa höi, ihrems er mür höier.
WS30	Hvor mangen Püen Pölß og Brüe vil ihm haa.
WS31	 E verſteer ihrem ik ihm mut ſknack e let hoier.
WS32	 Haa ihm ik het et Stück vitt Sieb te med aa Buer.
WS33	 Sin Bruer vil byg tau nye net Huus i ihrem Gaaer.
WS34	 Der Oer kam ham fra Hjart.
WS35	 Der er ret a ihrem.
WS36	 Var ſidder der for Fauls ohne a Muer.
WS37	 E Bünners har fem Stut og ni Küer taale faaer utne Bye dem vil die ſeel.
WS38	 E Folk er i dau uten a Mark og hog.
WS39	 Gaa kon den brun Hund gjör de int.
WS40	 E er med e Folk a den andern ſie e Eng agen i Kuren.
