---
Bogennummer: 46699
Ort: Horsbüll
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: ''
...
WS01	Ahne Wanter flehe dä drüge Bläre dörre Laft herem.
WS02	Dad halt gliek eb tha ſchneen ſü wart däd Weder wörder bär.
WS03	Dau Kujlle uhne Kachling, dad dad Mulke ball ta kogen kennt.
WS04	Di gojde uille Munn es mehe Hengſt dört Is bregen en ohnt dad kohl Wahr farlen.
WS05	Hi es var viauer anter ſegs Wehg ſtörwen.
WS06	Dad Ill was allte hiet dä Kagnen ſenn dirle hiel ſuhrt brahnt.
WS07	Hi ehrt äh Aije allthedens ſanner Salt än Pöber.
WS08	Dä Fejte daue mie gräſi ſiehr Ick liev ick hevs dörlöben.
WS09	Ick benn bei äh Wüff wen en hevt ha ſejd, en jü ſäh, jü wielt ock ta ha Dochter ſierde.
WS10	Ick wellt ock ei mur wöder daue.
WS11	Ick ſchlau di glicks mehä Kochſkies emme Uhre, den Aab!
WS12	Wehr gangſt dö henne ſkelle wie ock me die gange.
WS13	Dad es ehn hien Tidd!
WS14	Minn liev Börn blüv her dirle ſtuinnen de biſtre Geſä bitte die duit.
WS15	Dü hierſt deling mieſt liert en beſt brov wen en mejſt ier Tüs gange es dä Ohrr.
WS16	Dö beſt nag ei grate nog emmen Badel Winn ötta drenken, dö muißt erſt nag en Ihnne wagſe en grater wade.
WS17	Gang wes ſu goit en ſierd ta dinn Sörſter jü ſkuil dad Klure ta jagen Mehm klar ſeie en mehe Bjaſel rehn mage.
WS18	Heſt dö hem kahnt! ſü heit' hill ors kiemen, en hie deh bär em hen taſtuinnen.
WS19	Humm hie mie menn Korv met Flahſk ſthielen?
WS20	Hi de ſü, es hehn je hem ta tiasken beſtellt, je hehnt aber ſielev dehn.
WS21	Humm hie hi die neie Geſchichte vorthielt?
WS22	Humm ſkel hug bielke, ors varſtujnd hi ös ei.
WS23	Wie ſenn trart en heve Tahſt.
WS24	Es wie en jöſtre Ihnn tabeg kommen, dä lähen dä Ohrr all uhnt Behrt en wöhn faſt uhn ſchlepen.
WS25	Eh Schneh es jüher Nagt bei ös lehden blehwen, ors Mahrling es er ebthuit.
WS26	Neder ühs Hüs ſtuinne tre kehm Apelbumme meh ruith Able.
WS27	Kan[e] üm eien Leitſkürr ehw üs thewe, ſü gange wie meh jem.
WS28	Üm meihe ei ſak Börneſpelle drive.
WS29	Ühs Behriä ſenn ei ehi hug, jagen ſenn valler huger.
WS30	Hü mennig Pünn Sees en hü valler Bruid well üm hier?
WS31	Ick varſtuinn jemm ei, üm muitte leitet huger ſchnacke.
WS32	Hev üm ei en Stack wet Sieb var mie äv minn Sköv fünnen?
WS33	Senn Brohr well tau kehm nei Hüsſinge uhn jagen Tünn bege.
WS34	Dad Uhrd komm hem vuint Herd!
WS35	Dad was ragt vuin hemm!
WS36	Wet ſette dehr var ha leit Vögle bopen ew jü leit Möhr?
WS37	Dä Börrer heihen fiev Stierre en nügen Kih en twilven leit Skepä varet Torb brogt, dä willen jä varkuhpe.
WS38	Dä Kialſe ſenn deling all ütt ehwt Fill ta meihen.
WS39	Gang man, die brünne Hünn dihr die nicks.
WS40	Ick benn mehe Kialſe en nedre ad Fill uhnt Korn köhrt.
