---
Bogennummer: 46701
Ort: Marienkoog
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: '{Zahlreiche Vokale wurden mit einem Haken überschrieben, der in der
  Transliteration als Akut wiedergegeben wird.} <NB Alle Konsonanten mit dem Häkchen
  werden ſcharf ausgeſprochen. das "j" am Ende einer Silbe wird ganz ſchwach ausgeſprochen.{Der
  Bogen ist beschädigt, die Transliteration dieser Anmerkung ist daher unsicher.}>'
...
WS01	Ö́n é Wónter flieé dé dröge Bleé dör é Luft ámbei.
WS02	Daat halt glíck áp tó ſneién, dánn wat daat Weeder wídder beeder
WS03	Dau Kohle ö̆́n é Kaaflaun, daat daat Molke ball äun tó koogen faanget.
WS04	Die gaue, üle Moon, áß má é Hingſt dö̆́rt J́ß brägen, én ö̆́n daat kaul Waader feln.
WS05	Hje áß vór vjauer oder ſeks Wége ſtö̆́rwén.
WS06	Daat Jil waas tó hiet, dá Kaagé ſán já unnér aalhiel ſuurt braand.
WS07	Hje eet dá Aajé aaltins [o]óné {Der erste Buchstabe ist unklar, wurde hier als o mit Akzent interpretiert.} Saalt én Páwer.
WS08	Dá Féttje daué mie dögdie ſier, ík liew, ík häws dö̆́rlimm.
WS09	J́ck bán bei é Wö̆́ff wän, én häwt hár ſeid, én jö̆́ ſä, jö̆́ weilt ók há dochter ſeedé.
WS10	J́ck wállt óck óllér mörr wíddér dünj.
WS11	Jck ſlau die glick má é Koogſchieß {Undeutlich geschrieben.} ám é Uré, dö̆́ Awé.
WS12	Wér gongſt dö̆́ háné, ſchán wie má die góngé?
WS13	Dat ſán hienjé Tídde.
WS14	Mín liew Bjárn, blíw hír deele ſtö̆́njén, dá äriejé Geißé bídte die düdj
WS15	Dö̆́ häſt dilling ám mieſten lierd, én báſt órdie wän, dö̆́ mäuſt ihr eftért Hǘß góngé, áß dá Audéré
WS16	Dö̆́ báſt nóch ái grat noog, ám én Bottel Wínn ǘt tó drenken, dö̆́ mö̆́iſt érſt nóch én Jnjé wókſé, én grötter wadé.
WS17	Gong, wee ſö̆́ gö̆́dj, én ſeed dínn Sö̆́ſter, jö̆́ ſchö̆́ll dá Klué vór járing Mamm klar ſáié, en má é Bjárſel rien maagé.
WS18	Häiſt dö̆́ hám kaand dann wúſt auers kiemen, én ét déi bädér ám ham ſtö̆́njén.
WS19	Hum heet mie man Kórw má Flaaſch ſteeln.
WS20	Hje déi ſö̆́, áß henj já hám tó tjárſchen beſtálld, já hew ét aber selw dennj
WS21	Hum heet hje da naie Geſchíchte vérteld?
WS22	Hum mö̆́jt gratém bilké, aus verſtont hje ö̆́ß ái.
WS23	Wie ſánn traat, én häwé Torſt.
WS24	Áß wie én Teené tóbäg kö̆́mén, där leijn dá Audéré al tó Beed, én wan faaſt öjnt ſchleipen.
WS25	Die Snie áß jö̆́ här Nagd bei ö̆́ß ládden bláwn, aber Maling áß ér ſmóltén
WS26	Äder üs Hüß ſtö̆́nje trá ſchöne látje Aapelbumé má látje rüdjé Aapélé
WS27	Kóné jám ái nóch én Ugenblék áw ö̆́ß teiwé, dánn góngé wie má jám
WS28	Jam mö̆́njé ái ſók Bjárnetö̆́gé dríwé.
WS29	Üs Berieé ſán ái ſö̆́ huch, dá jarngé ſán vólé hugér.
WS30	Hö̆́rmanning Pö̆́n Äsderbinj, én hö̆́rvólé Brüdj wánn jám hewé
WS31	J́ck vérſtönj jám ái, jám mö̆́njé én látjét hugér ſnaké.
WS32	Häwe jám nienj látj Stóck wítt Siep för mie áw mín Scheew fö̆́nnén.
WS33	Sán Brauder wáll hám tau ſchöné nájé Hö̆́ſingné ö̆́n járing Tö̆́n bégé
WS34	Daat Urd kóm hám vón Hártén
WS35	Daat waas rocht vón jám.
WS36	Wát ſáte dér vór látjé Vö̆́gélé bówen áw jö̆́ látj Mör.
WS37	Dá Börré hénj fiew Stieré, én nügén Kee, én twelwén Schéipé fórt Torp brógd, da wénj já vérkupé.
WS38	Daat Vö̆́lk áß däling al ǘdte {Undeutlich geschrieben.} áw't Felj én Haué.
WS39	Góng mán, die brǘné Hö̆́n deet die níks
WS40	J́k bán má daat Vö̆́lk der äder áuer daat Medjlö̆́nj önjt Korn kjárd.
