---
Bogennummer: 46770
Ort: Ost-Bargum
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: <Satz 1-20 frieſiſch, 21-40 plattdeutſch, Vocale mit ' ſind geſchärft.
  {Nachträglich eingefügte Notiz in anderer Handschrift.}>
...
WS01	Öne Wunter fliene dö drögge Bleé dör dé Loft ambei.
WS02	Dat hiert glick áp tö̆́ ſchneien, denn ward dat Wäér wí bäér.
WS03	Dun Kohle ön dé Kachelöben, dat dé Molke bald ön tö̆́ koochen fange.
WS04	Di gode ule Moon es mé di Hengſt dör't J́s brägen un ön dat köl Wáer feelen.
WS05	Hi es vor viauer eder ſeechs Wegge ſtürben.
WS06	Dat Jl was ta hiet, dé Kááge ſén jé unner allhíl ſuurt bárnt.
WS07	Hi eet dé Eijé jümmer ohne Salt un Péwér.
WS08	Dé Fäjt dún mi gräſi ſihr, ick liew, ick hew's dörlämen.
WS09	Jck bén bei jö̆́ Wöff wäen un häf't hérr ſeid, un jö̆́ ſä, jö̆́ weel't ock hérr doochter ſeede.
WS10	Jck wall't ock ä mar dun.
WS11	Jck ſchlun di glicks mé dé Koocheſchieß am dé Uhre, dö̆́ Áwe!
WS12	Wirr gangſt dö̆́ hén, ſchén wi mé di gónge.
WS13	Dat ſén ringe Tidde.
WS14	Mín liew Beern, blíw hér deele ſtönen, dé dale Gees bitte di dut.
WS15	Dö̆́ heeſt délling am maſten liert un béſt oardi wäſen, dö̆́ meiſt ihr tö̆́ Hǘs gónge as dé Oadere.
WS16	Dö̆́ béſt noch ä grat'n nog, am én Buddel Winn ö̆́t tö̆́drinken, dö̆́ mößt erſt noch én Jne wákſe un gröter warde.
WS17	Góng wees ſö̆́ göd un ſäj din Saſter, jö̆́ ſchöl dö̆́ Klué for jernge Memm gangs ſeié un mé di Bärſel rien máge.
WS18	Heeſt dö̆́ hám kánt, denn was't oars kiemen un't dä bäér am di ſtöhnen.
WS19	Hum heet mi máán Korf mé Flááſch ſteelen.
WS20	Hi dä ſa, als heén jö̆́ hám ta't Terſchen beſtallt; jö̆́ hew't awer ſilwſt {Undeutlich geschrieben.} deen.
WS21	Wem hett he de nüe Geſchichte vertellt.
WS22	Man mutt lut ſchrien, ſonſt verſteit he uns nich.
WS23	Wie ſind möd un hebben Dörſt.
WS24	As wie geſtern Abend torüch keemen, do leegen de Annern all to Bett un wär'n faſt in'n Schlap.
WS25	De Schnee is disſe Nacht bi uns liggen blewen, awer hüt Morgen is he ſchmolten.
WS26	Achter unſe Hus ſtahn dren lütje ſchöne Appelböm mit lütje rode Appeln.
WS27	Kön'n jem nich en lütje Ogenblick op uns töwen, denn gahn wi mit jem.
WS28	Jem dören nich ſo'n Kinderwark drieben.
WS29	Unſe Bargen ſind nich ſehr hoch, jemme ſind väl höger.
WS30	Wieväl Pund Wuſt un wieväl Brod woll'n jem hebben?
WS31	Jck verſtah jem nich, jem müdt en bäten luter ſpräken.
WS32	Hebb'n jem en lütje Stück witte Seep för mi op min Diſch funnen?
WS33	Sien Broder will ſick twee ſchöne nüe Hüſer in jeme Hof buen.
WS34	Dat Word keem em von Harten!
WS35	Dat wär recht von ſe.
WS36	Wat ſitten dor för lütje Vageln ap de lütje Mur.
WS37	De Buren harren fief Osſen un nägen Keu un twölf lütje Schap vör dat Dörp bragt, de woll'n ſe verkoopen.
WS38	De Lüde ſind hüt all buten op dat Feld un meien.
WS39	Gah man, de brune Hund deit di nichts.
WS40	Jck bin mit de Lüde dor achter äwer de Wiſch in't Korn fohren.
