---
Bogennummer: 46771
Ort: West-Langenhorn
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: ''
...
WS01	Öun'e <(geſchärftes ö mit leiſe nachgehauchtem u.)> Wonter fliene de drögge Bleé öun'e Loft ambei.
WS02	Dat halt glik ap ta ſchneien, denn wart dat Wäer we bäer.
WS03	Leed Kole öun'e Kachelöun, dat de Molke bal öunfanget ta kogen.
WS04	Di göue, ule Moon es me de Hengſt dör't Js brägen en öun dat köul Waer felen.
WS05	Hi es for fjaur enner ſeeks Wäge dud bläben.
WS06	Dat Jl was ta hiit, de Kage ſen jä aw de onner Kant gans ſuurt barnet.
WS07	Hi eet de Eie jömmer ahne Salt en Päwer.
WS08	De Fejt dun me bejſtig ſiir, ick liev, ick häw's dörlämen.
WS09	Jck bän bei jö Wöf wäſen, en häw her dat ſei'd, en jö ſä, jö wejl dat ock her dogter ſeje.
WS10	Jck wall dat ock äg mor wed dun.
WS11	Jck ſlun de <(zwiſchen e und i)> glik me de grat Schies am de Ure, dö Awe!
WS12	Wer gaongſt dö hanne, ſchän we me de gaonge.
WS13	Dat es en ring Tidd!
WS14	Min liev Bern, bliw her dele ſtöunen, de dalle {Undeutlich.} Gejs bitte de dud.
WS15	Dö häſt delling am maſten liirt en beſt ardig wäſen, dü maiſt iher ta Höös gaonge
WS16	Dö beſt nag äg grotte nog, am en Boddel Win öttadrenken, dö möuſt nog en Jne wakſe en grotter warde.
WS17	Gaong, wees ſö göud, en ſeje ta din Saſter, jö ſchöul de Klue for her Mem gangs ſeje, en me de Berſel rin mage
WS18	Hejſt dö ham kand! denn was dat oers kimen, en dat ſtön bäer am ham.
WS19	Hum heet me man Korf me Flaſch ſteelen?
WS20	Hi dej ſö, as hejn jä ham ta terſchen beſtald, jä häwet awer ſilwen dejn
WS21	Hum heet hi dat nei Täl verteeld?
WS22	Hum möut grottem grale, oers verſtond hi üs äg.
WS23	We ſän trad en häwe Torſt.
WS24	Äs we en jörſen Ene tabäg köumen, leien de Öure all aw't Beed en ſlejpen faſt.
WS25	De Sneje äs auer Nagd bei ös ledden bläwen, awer maleng äs er aptoit.
WS26	Aw äderige üüs Höös ſtöune trä ſmakke Apelbume me lejtje rue Apele.
WS27	Kane jem äg en lejtj Schör aw ös tejwe, denn gaonge we me jem.
WS28	Jem möune äg ſaok Jungenskram drivve.
WS29	Üüs Bärge ſän äg bejſtig hug, jange ſän vaale huger.
WS30	Hö vaale Pön Replenge <(Blutwurſt)> <Äſerbin <(Fleiſchwurſt)>> en hö vaale Brud wenn jem hewe?
WS31	Jck verſtöun jem äg, jem möune wat grottemer ſnake.
WS32	Häwe jem äg en lejtj Stak wit Sip for me aw men Scheew fönnen
WS33	San Bröuer wall ham töu ſmake neie Höſenge öun jerre Tön begge.
WS34	Dat Word köum ham vont Hert.
WS35	Dat was raocht von jem.
WS36	Wat ſatte der for lejtje Fögele aw jö lejtj Mör.
WS37	De Böre häwe fief Stiere en njügen Ke en twillef Schejp öt fort Torp brogt, de wenn jä verkupe.
WS38	De Menſchene ſän deleng alle böte aw't Fejl ta hauen.
WS39	Gaong man, di brönne Hön ded de niks.
WS40	Jck bän me dat Föulk aw ädrige dat Mejdlöun öun't Korn kerd.
