---
Bogennummer: 46892
Ort: Klanxbüll
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: ''
...
WS01	Em Wonterm fleie dä dr[ö]ge Bläre dör ä Logt embei
WS02	Et hiert glik äp to ſchnäien, ſö word dat Weder wödder beer.
WS03	Dau Quolle ohn ä Kachlon, dat et Moulke bal to kagen kemmt.
WS04	Di gore ulle Mun es mä ä Hängſt dör't Js brägen, en on't kohl Waard fahlen.
WS05	Hi es for fiöyer anter ſeks Wäge ſtärwen.
WS06	Dat Jil was alto hiet dä Kagne ſän jä onner ſuurt brand.
WS07	Hi iät dä Aije altid ſanner Sålt en Pöbber.
WS08	Dä Feite daue mi volle ſier, ik lie'f ik häw's döer leben.
WS09	Jk bänn bei ä Wöff wä'en, enn hev't har ſäid, enn jö ſä, jö wielt ok har Dogter ſiäde.
WS10	Jk wal't ok ej mur wödder daue.
WS11	Jk ſchlau Di glick mä ä Kaagſchies em dä Uhre, Dö Aab.
WS12	Wirr gongſt Dö henn ſchälle wi mä Di gange.
WS13	Dat ſän hien Tidde.
WS14	Min liew Börn, blöw hirr diälle ſtounen, dä völle Geiſe bitte Di doud.
WS15	Dö hiäſt däling mieſt lierd, enn bäſt braw wäen, Dö mäiſt ihr tahös gange äs dä Ore.
WS16	Dö bäſt nog ei gratte noog em enn Boddel Winn öttodränken, Dö moiſt ierſt noch enn Jnne wakſe enn grotter worde.
WS17	Gong, wies ſö goid enn ſiäd Dinn Söſter, jö ſchul dä Klure for jarring Mehm kloir ſaie, enn mä ä Biarſel riehn mage.
WS18	Häiſt Do hem kand! ſö waßt oors kiemmen, enn dat wörd bäer em hämm ſtoune.
WS19	Hom hiäe mi män Korw mä Flaiſk ſtiällen?
WS20	Hi däi ſö, äs wenn jä hem ta tiärsken beiſtäld heien, jä häwet aber ſelv dehn.
WS21	Hom hiä hie di naie Geſchichte vertiäld?
WS22	Öm moit grottem ſkreie, ors verſtound hi ös ei.
WS23	Wi ſänn tråd enn häwe Torſt.
WS24	Es wi enn Tienne tabä'g kommen, dä läen dä Ore al ont Biäd, enn wörren faſt ont ſlepen.
WS25	An Schnäi es nagtling bei os lädden blöewen, man mårling es er ſchmolten.
WS26	Enn äedere üüs Hös ſtoine trä keem Apelbumme ma ruid Apele.
WS27	Köhn öm nog ei enn Ugbläck ew ös tewe, ſö gange wi mä jem.
WS28	Öm moite ei ſock Börneweerk driwwe.
WS29	Ües Beerge ſän ei volle hug, jarring ſän volle huger.
WS30	Hör menning Pön Esderbin, enn hör voll Bruud welle öm hiä?
WS31	Jk verſtoind jem ei, üm moite enn leitet huger ſchnake.
WS32	Häwe üm ei enn Stok witt Siep for mi äw min Sköw founen?
WS33	Sän Broor wäl hem tau kehm nei Hösſinge ohn jarringen Tön bägge.
WS34	Dat Urd komm hem vun't Hart!
WS35	Dat was rogt foun hem. <(oder har)>
WS36	Wät ſätte dir får Vögele bawen äw dat lait Mörr?
WS37	Dä Boine heien fiev Stierne, enn nügen Kie, enn twilwen Skeepe vor dat Tourb brögt, dä wiellen jä verkuppe.
WS38	Dat Volk äs däling altamal bötte aef ä Feile to meien.
WS39	Gong man, di brönne Hönn diä di niks.
WS40	Jk bän mä dat Folk dir enn ädere ar dat Mäid on't Koren köerd.
