---
Bogennummer: 47046
Ort: Meels
Sprache: Dänisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Kathrin Wollenschläger
Anmerkungen: ''
...
WS01	Om Winter flóier di tór Blái rondt om i æ Loft.
WS02	De hór ſnát op o ſnie, ſaa blyver æ Vor bor.
WS03	Kom Kaall i æ Kakkelon, te e Mjelk ſnát kaa begynd aa kog.
WS04	Den gui gammel Maand er broſten egemmel æ Is med æ Hoſt aa er follen i æ koold Waand.
WS05	Han er dó for für ſeis Oger ſin.
WS06	Æ Ild var for hie, æ Kager er blóvven hielt ſoat brand nen ynner.
WS07	Han orrer oltid æ Æg forurren Solt o Peffer.
WS08	Æ Fórrer gór mo mój vie, æ trui, te æ haa gavn Gaf o em.
WS09	Æ hor vot ved æ Kun o ſoj hin e, o han ſoj, ten hon vild o ſej hin Dotter e.
WS10	Æ vil heller it gyer e mier.
WS11	Æ ſloer dej ſtrax med æ Madſkie om æ Yrer, do Afkat.
WS12	Vo goer do hen, ſkal vi go med dej.
WS13	De er ring Tier.
WS14	Mit kjærre Bán, blyv ſtaaend her nen, di gall Gæs birre dej ihjel.
WS15	E dau hor do lær mieſt, o hor væt gui, do maa go fór hjem ind di Anner.
WS16	Do er endno it ſtue nok te o drik en Bottel Viin. Do maa fóſt veis et enne Kvan o blyv ſtór.
WS17	Go, vór ſaa gui o ſoj te din Sóſter, hon ſta ſy e Klæer hore te jer Muer o gyer em rien med o Bóſt.
WS18	Hoj do kond ham, ſaa var der kommen novver aant, o de hoj ſtaanden bor med ham.
WS19	Ven hor ſtól min Korre med æ Kjód.
WS20	Han gyer, ſom ven di hoj beſtilt ham te o tæſk; men di hor ſel gyer e.
WS21	Ven hor han fortold den ny Hiſtorre.
WS22	Man maa ſkrig hóit, eiſen forſtæer han vos it.
WS23	Vi er tret og er tyſte.
WS24	E Gaajaaves lav vi kom tebag, da lov di Anner i æ Seng o var ſnat ved o ſov.
WS25	Æ Snie er blóvven leggend ved vos e Nat, men e Moanes er den ſmolten.
WS26	Bag vot Hus ſtaer trie ſtaas ſmo Afes med ſmo rói Efel.
WS27	Kaan i it tóv etter vos enno et Yeblik, ſaa goer vi med jer.
WS28	I maa it dryvo ſaarren Bónſtreger.
WS29	Vor Bjerre er it ſae hói, jer er móie hóier.
WS30	Vormaanne Pond Póls, o vor maanne Bród vil a haa.
WS31	Æ forſtæer jer it; i maa ſnak e lit hóier.
WS32	Har i it fannen et Stykke hvedt Sief ov mit o min Diſk.
WS33	Hans Bruer vil byg ſej to ny ſtaas Huus i jer Goar.
WS34	Di Oar kom ham fro a Hjat.
WS35	De var ret ov dem.
WS36	Va ſerrer der for novver Fovl o den lil´ Muur.
WS37	Æ Bynner hor brongen fem Ouſer, ni Kyer o tol Foar te Bys; dem vil di ſeel.
WS38	Ol o Folk er ud edav o hýſt.
WS39	Go kon, den brun Hund gór dej it novver.
WS40	Æ hor kyer med æ Folk bag óvver o Maj te o Kvan.
