---
Bogennummer: 47218
Ort: Barsselermoor
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Miriam Schlicht
Anmerkungen: ''
...
WS01	In'n Winter fläigt däi drögen Bleöre dör däi Luft herümme.
WS02	Et hört gliks upp tou ſchnäien, dann wat dat Wäer wäer bäter.
WS03	Daou Kählen in'n Ahmt, dat däi Mell'k an tou kāken fangt.
WS04	Däi goue olle Mann is mit dat Perd dört Iis brāken und in dat kolle Waater full'n.
WS05	Häi is föer fäer oder ſes Wääken ſturben.
WS06	Dat Füer wäer tou häit, däi Kaouken ſünd jo unner ganz ſchwart brannt.
WS07	Häi ett däi Eier immer ahne Solt und Päper.
WS08	Däi Fäoute daout mi düftig wäih, ick glöwe, ick heww ſäi dör loopen.
WS09	Ick bin bi däi Froue wäſen und häww't eehr ſeggt, und ſäi ſää, ſäi wullt eehre Dochter uck ſeggen.
WS10	Ick will't uck nich mehr wäer daoun!
WS11	Ick ſchläh die ſogliks mit'n Schläif ümm däi Ohren, du Ape!
WS12	Woer geihſt du henn, ſchäl wieh mit die gaahe?
WS13	Ett ſünd ſchlechte Tien.
WS14	Miehn läiwe Kind, bliew hier unnen ſtaauhn, däi böſen Göhſe bieht die dodt.
WS15	Du heſt van Daouge am meiſten leert und büſt önlick wäiſen, und du kannſt äiher nou Huhs hengaouhn, as däi annern.
WS16	Du bäſt noch nich grout genaoug, umm'n Buttel Wiehn tou drinken, du maouſt äierſt noch'n Enne waſſen und gröter wäirn.
WS17	Gaouh, un wäſe ſo gout und ſegge diene Süßter, ſäi ſchull däi Kläire föer jou Mamme tourechte raihn und mit'n Böſſel reine maaken.
WS18	Haarſt du ümm kennt! dann wäer't anners kaamen, und ett döh bäter ümm üm ſtaahn.
WS19	Well heww min'n Körf mit Flesk ſtaouhlen?
WS20	Häi deh ſo, as harr'n ſäi ümm toun Dösken beſtellt; ſäi hewwet awer ſülwſt daouhn.
WS21	Well heww häi däi näihe Geſchichte vertellt?
WS22	Man maout felle ſchräiwen, anners verſteiht häi us nich.
WS23	Wieh ſünd mäühe und hewwet Dööſt.
WS24	As wieh güßtern Abent wäer ümme guemen, dou legen däi Annern aalle in't Bäire und wäiren faßt ant ſchlaapen.
WS25	Däi Schnäi is van Nacht bi us liggen bläiwen, aawer van'n Morgen is häi ſchmulten.
WS26	Achter uhſen Huhſe ſtaout dräi moje Appelböhmkes mit rohe Äppelkes.
WS27	Kähn ji nich noch'n Ogenblick wachten, dann gouh wieh mit jou.
WS28	Ii dräift nich ſükke Kinneräi driven.
WS29	Uhſe Barge ſünd nich ganz hah, joue ſünd höger.
WS30	Wo väil Punt Wouſt und wo väil Brot will ji hebben?
WS31	Ick verſtaounh jou nich, ji mäit bitje feller ſpräiken.
WS32	Hebbt ji kinn Stücksken witte Saipe föer mieh upp miehn'n Disk funnen?
WS33	Siehn Breuer will ſikk twäi näihe moje Hühſer in joun'n Gorr'n banen.
WS34	Dat Wort guem ümm van Harten.
WS35	Dat wäer recht van äihr.
WS36	Watt ſitt door van Vägelken bawen upp däi Mühre?
WS37	Däi Bouren hebbt fief Oſſen und nägen Keihe und twalf Schäpkes föer dat Döörp bracht, däi wull'n ſäi verkoopen.
WS38	Däi Lüe ſünd alle bouten upp dat Feld und meihet.
WS39	Gaouh man, däi brune Hūnd deiht die nicks.
WS40	Ick bün mit däi Lüe door achter awer däi Wiske in't Koorn fä[?]hert.
