---
Bogennummer: '47319'
Ort: Driever
Gid: 117542
Transliterent: Jeffrey Pheiff
Transliterationsprojekt:
Anmerkungen:
Original Anmerkungen:
Erstelldatum:
Änderungsdatum:
Satzversion:
...
WS1	int winter vleigen de dröge bladen dȫr de lücht herum
WS2	t hȫrt vut up te sneien dan word t weer weer beter
WS3	dȫe kölen in de ovend dat de melk bol anwankt te koken
WS4	de göede olle man is mit t peerd dȫr t ies broken un int kolle water vallen
WS5	
WS6	t vǖr was te heit de kȫeken sün under ja heil swart brand
WS7	hei et de eier sünner solt un peper
WS8	de vöeten döen mi heil seer ik lȫv ik heb se dȫrlopen
WS9	ik bün bi de vrau west un heb hȫr t segt un sei see sei wul t ook hȫr dogter seggen
WS10	
WS11	ik sla di vut mit de sleiv um doren du ape
WS12	
WS13	
WS14	mien leive kind bliw hier under staan de kwade ganse bieten di dood
WS15	du hest van dage op meiste leert un büst leiv west du dürst vröer na hūs gaan as de andern
WS16	
WS17	ga wees so göed un seg dien süster sei sul de kleire vȫr jöe möeder klaar neien un mit de bössel schoon maken
WS18	
WS19	
WS20	
WS21	wel het hei de neie geschichte verteld
WS22	
WS23	
WS24	as wi güstern avend terüg kwammen laggn de andern al up bedde un sleipen vast
WS25	de snei is van nachts bi uns liggen bleven man van mörgen is he smolten
WS26	
WS27	
WS28	
WS29	
WS30	
WS31	
WS32	
WS33	
WS34	dat woord kwam hum van harten
WS35	
WS36	wat sitten daar vȫr vȫgelkes boven op dat mürke
WS37	de buren harden vief ossen un negen köijen un twalf schāpkes vȫr t dörp brocht dei wulln se verkopen
WS38	de lü sünd van dage alle buten opt veld un meien
WS39	ga man de brune hund deit di niks
WS40	ik bün mit de lǖ daar achter over t meidland int koorn varen
