---
Bogennummer: 47679
Ort: Zetel
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: ''
Anmerkungen: ''
...
WS01	Inn Winter fleegt de drögen Bläär inne Luft herümm.
WS02	Dat hollt gliek upp to sneen, denn ward datt Wär weller beter.
WS03	Do Kälen inn Abmt, datt de Melk bollt kakt.
WS04	De gode ole Mann <(Kērl)> iss mit datt Pärd däört Is braken un in datt kole Water fulln.
WS05	Hē iss väör veer oler sess Wäk’n sturb’n.
WS06	Datt Füer weer to heet, dee Kōkn sünd jo ünner ganß swart brennt.
WS07	Hee ett de Eier ümmer ahn Solld unn Päper.
WS08	De Föt kellt mi düchtig, ick glöw, ick hebb se däörlop’n.
WS09	Ick bünn bie de Fro wähn unn heff ert seggt, unn se säh, see wullt ok ehr Deern seggen.
WS10	Ick wullt ok nich wedder dohn.
WS11	Ick hau die glik mit’n Kaklepel <(Sleef)> üm̄ de Ohr’n, du Aap!
WS12	Wo geist du henn, schäölt wi mit di gahn?
WS13	Datt sünd slechte Tien!
WS14	Mien leev Kind, bliev hier ünner stahn, de vagrelldn Göös biet die doot.
WS15	Du hest vandag am mehrsen lehrt, un bust aartig wähsn, du dräöffst ehrder nich nah Hus gahn ass de Annern. 
WS16	Du büst noch nich grot genog, ummn Buddel Wien uttodrinken, du mösst erß noch’n Enn wassen unn gröter weern.
WS17	Gah, wäöss so god unn segg dien Süster, se schull de Kleer fäör her Moler klaar nei’n unn mit de Bösst rein maken.
WS18	Harrst du ümm kennt! dann weerd anners kāmen unn ett stünn bäter ümm äm.
WS19	Well hett mi mien Körrf mit Flesk stahlen?
WS20	He de so, ās harren se äm to Döschen bestellt; se heppt äwwer sülm dahn.
WS21	Well hett he de nee Geschicht vertellt?
WS22	Man mot lut schreen, anners vasteiht he uss nich.
WS23	Wie sünd möh unn heppt Döst.
WS24	As wi güstern Aben torügg kemen, do leegen de Annern all to Bett, unn weeren fast ant slapen.
WS25	De Snee is disse Nacht bi us lingen bleben, äwer väör Morg’n iss he smult.
WS26	Achter usen Hus staht dree moie Appelböm mit rothe Appeln.
WS27	Käönnt ji nich noch enen Ogenblick upp us töb(w)en, denn gaht wi mit jo.
WS28	Ji dräöwt nich sükse Kinneren driewen.
WS29	Use Bargn sünd nich sehr <(gans)> hoch, joo sünd hüpen höger.
WS30	Woväl Pund Wust unn woväl Brod wö ji hebben?
WS31	Ick vastah jo nich, ji mötn beten voster snacken.
WS32	Heppt ji kin Stück witte Seep fäör mi upp min Disk funn?
WS33	Sinn Broler will sick twe feine nee Hüs’ in jon Hoff boun.
WS34	Datt Wourt kem ümm van̄ Harten!
WS35	Datt weer recht vann äöm.
WS36	Watt sitt dar fäör Vagels baben upp dee Mür?
WS37	De Burn harn fif Ossen unn negen Kei unn twölf Schap väör datt Dörp brocht, de wullen see verköpen.
WS38	De Lüh sünd vandagen all buten upp datt Feld unn meiht.
WS39	Gah man, de brune Hund deit di nicks.
WS40	Ick bünn mit de Lüh dar achter äöwer de Wisk int Koorn föhrt.
