---
Bogennummer: '49906'
Ort: Spornitz
Gid: 119206
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Nele Rahn
Erstelldatum: 2024-10-21 12:01:47.535552
Änderungsdatum: 2024-12-06 14:16:43.504649
Satzversion: 1
...
WS1	Jn'n Wintě fleig'n dei drög'n Blärě in dei Luft ümher <oder: in dei Luft d'rümmě>.
WS2	Dat hölt glik <gliek> up tau snied'n, denn ward dat <oder: ward't> Wärǎ werrě bärǎ.
WS3	Schürr Kahl'n in'n Ab'n, dat dei Melk ball an tau kak'n fangt <üblicher: dat dei Melk ball kak'n ward>.
WS4	Dei gaur oll <üblicher: dei oll gaur> Mann is mit dat <od: mit't> Pierd dörcht Js brak'n <üblicher: up't Js inbrak'n> un in dat <in't> kol <kohl> Warě fall'n.
WS5	Hei is vö_ě<r> vei-ǎ orě <ohrě> sö̌s Woch'n dod bläb'n.
WS6	Dat Füe<r> wi-e<r> tau heit, dei Kauk'n sünd jo ünně ganz swart brennt. 
WS7	hei et dei Eje ümme ahn Sold <Sohld> un Päpě.
WS8	Dei fäut daun mi bannig weih, ick glöw, ick hev's <hew's> dörchlop'n.
WS9	Jck bün bi dei frug west un hev't <hew't> eh-ě<r> seggt, un sei sär <sähr>, sei wollt <wohlt> ok eh-ě<r> di-en <Dirne> segg'n <nicht so üblich: sei wohlt ok eh-ě<r> Dochdě segg'n>.
WS10	Jck will't ok nich werrě daun.
WS11	Jck sla di gliek mit den'n <mit'n> Kakläp'l üm dei <üblicher: ümmě> Uen, du Ahp <auch: Mulahp, Maiahp>.
WS12	Wo gehst du hen, sähl'l wi mit di gahn?
WS13	Dat sünd slecht' Tiern.
WS14	Mien leiv Kind, bliev hi-ě<r> ünně stahn, dei bös'n Gäus' bit'n di dod.
WS15	Du hest hüt dat meist liert un büst oarig west, du dörfst eirě <eigentl: nu dörfst du eirě> na hus <eigentl: tau hus>gahn as dei Annen.
WS16	Du büst noch nich grot naug, üm 'nĕ Buddel Wien uttaudrink'n <üblicher: dat du'n Buddel Wien utdrink'n kannst>, du müßt ei-est noch'n Ehn'n wass'n un grötě warn.
WS17	Gah <oder: Gah hen>, wähs so gaut un segg dien Swestě, sei söll dei Klerě vö-ě<r> jug Mudden <eigentl: Murren> trecht nehd'n un mit dei Böst rehd'n mak'n.
WS18	Harst du em kennt, denn wi-ět <wi-ěrt> annes kam'm <kahm'm>, un dat dehr bätě üm en stahn <üblicher: un dat har bärě üm em stahn>.
WS19	Weikě hett mi mien'n Korf mit fleisch stahl'n?
WS20	hei dehr so, as harn sei <harn's> em taud'n <auch. taud't> Dösch'n běstellt <auch: bǐstellt>, sei hebmt äwě sülmst <oder: sülm> dahn.
WS21	We[i,c̆]kěn hett hei dei nie <od: nieh> Geschicht vetellt <eigentl: vötellt>?
WS22	Man müt <mütt> luhr  schried'n, sü̆ß vesteht <vösteht> hei uns nich.
WS23	Wi sünd mäur un hebm Dö̆st.
WS24	As wi gistěn Ab'nd <eigentl: gist'n nab'nd> trüg kehmm, dunn leg'n dei Annen all in'n Berr <üblicher: dunn wi-ens all all tau Berr> un wi-en fast inslapen <oder: un leg'n in'n fasten Slap>.
WS25	Dei Snei is di-ěs Nacht bi uns ligg'n bläb'n, äwě hüt Morg'n is hei <eigentl: issǎ> smölt.
WS26	Achtĕ unß'n hus' stahn drei lüht schönĕ <auch: gaurě>Abbĕlböm <oder: Abbělböhm> mit lüht rod'n Abbĕl.
WS27	Kähn'n ji nich noch'n lüht'n Ob'nblick up uns täub'm, denn gahn wi mit juch.
WS28	Ji dörm <dörn> nich sön'n Kinnestreich <od: Kinneknäp> drieb'n <üblicher: mak'n- oder: an'n dag geb'n>.
WS29	Uns' Barg sünd nich si-ĕ<r> <üblicher: nich gefährlich> hoch, jug sünd vähl höge.
WS30	Wovähl Pund Wust un wovähl Brod will ji hebm?
WS31	Jck vestah <vöstah> juch nich, ji müt'n bät'n lurě <oder: düllě> snacken.
WS32	hebm ji nich'n lüht Stück witt Seip fö-ě<r> mi up mien'n Disch fun'n?
WS33	Sien Braurě will sick twei schön <gaur> niedn hüsě in jug'n Goad'n bug'n.
WS34	Dat Wu-ăt <od: Wu-ărt> kehm em van'n hart'n.
WS35	Dat wi-ĕr recht van eh-ě<r>.
WS36	Wat sidd'n do-ă fö lüht Vagels bab'n up dei lüht Mu-ě <oder: Mu-ǎ>.
WS37	Dei Bu-ěn harn fif Oss'n un näg'n Käuh un twölf lüht Schap vö-ě dat Dörb bröcht, dei wohl'n sei veköp'n <eigentl: vököp'n>.
WS38	Dei Lühr sünd hüt all but'n up'm fehll un mehd'n.
WS39	Gah man, dei brun hund deht di nicks.
WS40	Jck bün mit dei Lühr do-ǎ hin'n äewr'ě Wisch in't Ku-an fäu-ět <üblicher: hin'e äwer' ě Wisch na't Ku-an rien fäu-ět>.
