---
Bogennummer: '50205'
Ort: Friedrichsruhe
Gid: 121673
Transliterent: Mütze
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
...
WS1	In Winner fleig'n dei drögen Blärer dörch dei Luft.
WS2	Dat hürt glick up tau sni'n, denn ward dat Wärer werrer bäter.
WS3	Dau Kahlen in den Aben, dat dei Welk bald kaken ward.
WS4	Dei gaur oll Mann es mit dat Pird dörcht Is bracken un in dat koll Water fall'n
WS5	Hei is för veir orer s[ä]s Wäcken storb'n
WS6	Dat Füer wier tau heit, dei Kauken is jo ünn'n gans swart brennjt.
WS7	Hei itt dei Ejėr ümmer ahn Solt un Päper
WS8	Dei Feutt dauhn mit dull weih, ick glöw, ick he[w] sei dörch lopen
WS9	Ick bün bi dei Fru west un hew ihr't seggt, un sei sähr, sei wull ehr Dochter dat uck seggen.
WS10	Ick will dat uck nich mihr werrer dauhn
WS11	Ick slah di glick mit dei Kell üm dei Uhren, du Ap.
WS12	Wo geihst du hen, sölln wi mit di gahn?
WS13	Dat sünd slecht Ziden!
WS14	Mien leiw Kind, bliew hier ünner stahn, dei bös Gäus biten di[e] dot.
WS15	Du hest hüt am meisten lihrt un büst uhrrig west, du dörfst ihrrer nah Hus gahn. as dei annern.
WS16	Du büst noch nich grot naug, um'n Buttel Wien ut tau drinken, du müst noch ierst Enn wassen un gröter warr'n
WS17	Gah, sie so gaud un seg din Swester, sei sull dei Klerer för jug Mur̄er farrig neijn un mit dei Böst rejn macken
WS18	Harst du em kennt! denn wihr't anners kamm un't dehr bäter üm em stehn.
WS19	Wegger het mi mien Kiep mit Fleisch stahlen?
WS20	Sei dehr so as harrn's em taum döschen bestellt, sei hebben't äwer sülfst dahn.
WS21	Weggen hett hei dei nieg Geschicht vertellt?
WS22	Man mütt luhr schriegen, suß versteht hei uns nicht.
WS23	Wir sünd meud un hebben Dost.
WS24	As wi gistern Aben trüg käumen, dunn wihrn dei annern all tau Bett un fast inslapen
WS25	Dei Snei is dis Nacht bi uns liggen blewen, äwer hüt Morrn is hei smöllt.
WS26	Hinner unsern Hus stahn drei lütt schön Appelbohm mit lütt rohr Appel.
WS27	Künn'n ji nich noh Ogenblick luren, denn gahn wi mit jug.
WS28	Ji dörft nich son Kinnerkna[u]p driwen.
WS29	Uns Barg sind nich sihr hoch, jug sünd hüger.
WS30	Weväl Pund Wust un weväl Brod wüllt je hebben?
WS31	Ick verstah jug nich, ji müt lurer sch[n]acken.
WS32	Heft ji kein Stück witt Sei för mi up mien Disch fumdn?
WS33	Sien Braurer will sick drei nig schön Hüser in jug'n Gorn bug'n.
WS34	Dat Wurt kümmt em von Harten.
WS35	Dat wihr recht von sei.
WS36	Wat sitt dor för lütt Vägel up dei lütt Muer?
WS37	Dei Burrn harr'n finf Ossen un näg'n Keuh un twölf Schäpchen vur dat Dörp bröcht, dei wulln sei verköpen.
WS38	Dei Lühr sünd hüt all buten up'n Felln un meih'n.
WS39	Gah man, dei brun Hunt deit di nicks.
WS40	Ick bün mit dei Lühr dor hinn'n äwer dei Wisch in't Kurn führt
