---
Bogennummer: 53602
Ort: Zolondowo
Sprache: Polnisch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Zimą latają suche listki w powietrzu.
WS02	Wnet przestanie śnieg padać, potem będzie powietrze lepsze.
WS03	Włóż węgli w piec, żeby się mléko wnet zagotowało
WS04	Dobry, stary mężczyzna załamał się z koniem na lodzie i wpadł w zimną wodę.
WS05	Przed cztérema albo sześciu tygodniami umarł.
WS06	Ogień był za mocny, ciasta się pod spodem zupełnie spaliły.
WS07	On jé jaja zawsze bez soli i pieprzu.
WS08	Nogi mnie bolą, zdaje mi się, żem je poobcierał.
WS09	Ja byłem u téj niewiasty i powiedziałem jéj to; a ona mówiła, że to i swéj córce powié.
WS10	Już też tego więcéj nie uczynię.
WS11	Dam ci łyżką kuchenną <(warząchwią)> po uszach, ty ośle!
WS12	Gdzie idziesz, mamy z tobą pójść?
WS13	Złe (kiepskie) czasy!
WS14	Kochane dziecko, pozostań tu u dołu, boby cię złe gęsi zagryzły.
WS15	Tyś się dzisiaj najwięcéj nauczył i byłeś grzeczny, wolno ci za to prędzéj iść do domu jak innym.
WS16	Tyś jeszcze nie dosyć wielki, abyś butelkę wina wypił; ty musisz jeszcze cokolwick urość i być większym.
WS17	Idź, bądź taki dobry i powiedz twéj siostrze, aby suknie dla waszéj matki uszyła i szczotką wyczyściła.
WS18	Gdybyś go był znał, toby się było inaczéj stało, i byłoby dla niego lepiéj.
WS19	Kto mi mój Koszyk z mięsem ukradł?
WS20	Udwał jakoby go do młocki obstalowano; ale oni to sami zrobili.
WS21	Komu on tę nową powieść opowiadał?
WS22	Trzeba głośno krzyczeć, bo nas nie żrozumie.
WS23	Jesteśmy żnużeni i mamy pragnienie.
WS24	Gdyśmy wczoraj wieczorem wrócili, leżeli inni już w łóżku i mocno (twardo) spali.
WS25	Śnieg dzisiejszéj nocy polezał u nas, ale dziś nad ranem stopniał.
WS26	Za naszym domem stoją trzy piękne jabłoneczki z czerwonemi jabłuszkami.
WS27	Nie możecież jeszcze okamgnienie na nas czekać, potem pójdziemy z wami.
WS28	Nie musicie takich dzieciństw robić.
WS29	Nasze góry nie są bardzo wysokie, wasze są wyższe.
WS30	Ile funtów kiszki i ile chleba chcecie?
WS31	Nie rozumiem was, musicie cokolwiek głośniéj mówić.
WS32	Nie znaleźliście kawałka białego mydła dla mnie na moim stoliku.  
WS33	Jego brat chce sobie dwa piękne domy w waszym ogrodzie wystawić.
WS34	To słowo wyszło mu z serca!
WS35	Tak było słusznie od nich.
WS36	Jakie tam siedzą ptaszki u góry na murku?
WS37	Wieśniacy przywiedli pięć wołów i dziewęć krów i dwanaście owieczek przed wieś, te chcieli sprzedać.
WS38	Ludzie są dziś wszyscy na polu i koszą.
WS39	Idź tylko, ten brunatny pies nic ci nie zrobi.
WS40	Pojechałem z ludźmi tam wtyle przez łąkę w żyto.
