---
Bogennummer: 53760
Ort: Rojewo
Sprache: Polnisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	W zimie latają suche liście po powietrzu.
WS02	Zaraz przestanie śnieg padać, potem się powietrze poprawi.
WS03	Wrzuć węgli w piec, ażeby się mleko prędko zawarzyło.
WS04	Dobry stary człowiek załamał się na lodzie zkoniem i wpadł wzimną wodę.
WS05	Przed czteroma albo sześcioma tygodniami umarł.
WS06	Piec miał, za wielki płomień, spód placków się popalił.
WS07	On je jaja zawsze bez soli i pieprzu.
WS08	Noni mię bardzo bolą, bo się mocno zbiegałem.
WS09	Byłem u tej niewiasty i to jej powiedziałem a ona mówiła że to swej córce zamyśla powiedzieć.
WS10	Niechciałem więcej tego uczynić
WS11	Warząchwią dostaniesz po łbie ty małpo.
WS12	Dokąd idziesz, czy mamy iść z tobą?
WS13	Nastały kiepskie czasy.
WS14	Moje kochane dziecko, pozostań tu na dole, bo te złe gęsi by cię zagryzły.
WS15	Ty się dzisiaj najlepiej nauczyłeś i byłeś grzecznym, dla tego pójdziesz rychlej do domu od drugich.
WS16	Jeszcześ jest za mały  ażebyś mógł flaszkę wina wypić, musisz trochę urość i być większym.
WS17	Bądź tak dobrym idź do twej siostry i powiedz jej ażeby suknie dla waszej matki uszyła i szczotką wychędorzyła.
WS18	Gdybyś go był znał, to byłoby lepiej wypadło, i lepiej o nim byłbyś sądził.
WS19	Któż mi  ukradł mój koszyk z mięsem.
WS20	On stroił minę, jakby go do młócenia zająć mieli, oni to sami zrobili.
WS21	Komu tę nową historyą opowiedział?
WS22	Trzeba krzyczeć ażeby nas mógł zrozumieć
WS23	Jesteśmy strudzeni i spragnieni.
WS24	Gdy wczorajszego wieczora powróciliśmy, to ci drudzy już mocno spali. 
WS25	Śnieg przez noc przeleżał, ale rano stajał.
WS26	Za naszym domem stoją trzy piękne jabłoneczki z czerwonemi jabłuszkami.
WS27	Gdybyście mogli jeszcze cokolwiek poczekać, to szlibyśmy razem.
WS28	Nie powinniście takich dzieciństw robić.
WS29	Nasze góry nie są tak bardzo wysakie, wasze są daleko wyższe.
WS30	Ile chcecie mieć funtów kiszki i ile funtów chléba.
WS31	Nierozumiem was, musicie troche głośniej mówić.
WS32	Nieznaleśliście dla mnie ani kawałeczka mydła białego na stole.
WS33	Jego brat chce sobie dwa nowe piękne domy w agrodzie wybudować.
WS34	To słowo wyszło mu od serca.
WS35	To było pieknie od niego.
WS36	Jakie to ptaszki siedzą na tym murze?
WS37	Chłopy przyprowadzili pięć wołów, dziewięć krów, dwanaście owiec do wsi na sprzedaż.
WS38	Ludzie są dzisiaj wszyscy na polu i sieką.
WS39	Idź, ten brunatny pies nie ugryzie cię.
WS40	Pajechałem z ludźmi przez łąkę w żyto.
