---
Bogennummer: 53913
Ort: Werben
Sprache: Sorbisch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: Stone <(2003)>
Transliterent: Gerald Stone
Anmerkungen: ''
...
WS01	W lĕśe leśe te suche łoṕena přez powĕtř. W lĕjsche lejsche te ßuchje wopjena psches powĕtsch.
WS02	Snĕg přestańo se hyś, přeto ẃedro se polepšujo. Snĕg pschestanjo ße hüsch, pscheto wjedro ße polepschujo.
WS03	Scyn hugle do kaḿen, ab' mloko skóro se wariś chopiło. Szün hugle do kamjen, ab' mloko skóro ße warisch chopiwo.
WS04	Ten dobry stary muž jo z kóńom přez lod přepadńuł a jo do zymneje wódy padnuł. Ten dobrÿ starÿ musch jo s konjom psches lod pschepadnuł a jo do sÿmneje wódy padnuw.
WS05	
WS06	
WS07	
WS08	
WS09	
WS10	
WS11	
WS12	
WS13	
WS14	
WS15	
WS16	
WS17	
WS18	
WS19	
WS20	
WS21	
WS22	
WS23	
WS24	
WS25	
WS26	
WS27	
WS28	
WS29	
WS30	
WS31	
WS32	
WS33	
WS34	
WS35	
WS36	
WS37	
WS38	
WS39	
WS40	
