---
Bogennummer: 55593
Ort: Slupia
Sprache: Polnisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: Syntaxauswertung Fleischer
Transliterent: Sara Hayden
Anmerkungen: ''
...
WS01	W zimie latają suche liście w powietrzu.
WS02	Przestanie zaraz snieg padać, potem bedzie pawietrze=
WS03	Włóż węgle w piec, aby mleko wnet zaczęło się {unfertig}
WS04	Stary, dobry człowiek załamał się z koniem na lodzie i wpadł {unfertig}
WS05	Umarł przed czterema, lub przed {unfertig}
WS06	Ogień był za wielki przeto placki są pod {unfertig}
WS07	On je jaja zawsze bez soli i pieprzu.
WS08	Nogi mnie bolą bardzo, ja myśle, że się {unfertig}
WS09	Byłem u pani powiedziałem jej i ona powiedziała, że {unfertig}
WS10	Ja nie chcę tego więcej {unfertig}
WS11	Wybiję cię zaraz warząchwią po uszach ty małpo.
WS12	Gdzie idziesz, mamy iść z tobą.
WS13	Są złe czasy.
WS14	Moje, kochane dziecko, pozostań na dole te {unfertig}
WS15	Tyś się dziśiaj najwięcéj nauczył i byłeś grzecznym, możesz iść {unfertig}
WS16	Jeszcze jesteś za małym byś flaszke wina wypił najprzód muśisz {unfertig}
WS17	Idź bądź tak dobrym i powiedz twojej siostrze że miała suknie dla waszej {unfertig}
WS18	Zebyś ty go znał! To by ło by inaczéj i by ło by mu lepiéj.
WS19	Kto skradł moj koszyk z mięsem.
WS20	On u dawał tak, jakoby go do mało cenia obstalował, ale {unfertig}
WS21	Komu on nową historją {unfertig}
WS22	Trzeba głośno krzyczeć, inaczéj nie {unfertig}
WS23	Jesteśmy zmużeni i mamy {unfertig}
WS24	Gdyśmy wczoraj wieczorem wrócili, leżeli już drudzy w łoszku {unfertig}
WS25	Śnieg przez noc u nas leżał ale dzisiaj rano {unfertig}
WS26	Za naszym domem stoją trzy piekne jabłonie {unfertig}
WS27	Nie moglibyśćie jeszcze chwileczke na {unfertig}
WS28	Nie muśicie się zajmować dziecinstwem.
WS29	Nasze góry nie są bardzo wysokie, wasze {unfertig}
WS30	Ile funtów kiszki a ile chleba chcecie.
WS31	Nie nierozumiem was, musićie troszeczke {unfertig}
WS32	Nie znaleśliście kawałka białego mydła {unfertig}
WS33	Jego brat chcę sobie dwa nowe domy {unfertig}
WS34	Słowo poszło mu ot serca
WS35	To było słusznie {unfertig?}
WS36	Co za ptaszki siedzą tam na tem murku.
WS37	Chlopu przyprowadzili pięć wołow i dziewięc krów i dwanaście owieczek przed wieś, które {unfertig}
WS38	Ludzie są dziśiaj wszycy na polu i tam sieką
WS39	Idż tylko brunatny pies nic ci nie zrobi.
WS40	Pojechałem z ludzmi przez łąke po zboże.
